"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90344;0.0;0.0
0-2;M;2;0;95267;0.0;0.0
3-5;K;3;1;91153;0.0;0.0
3-5;M;5;2;96222;0.0;0.0
6-11;K;17;5;179566;0.0;0.0
6-11;M;18;7;189019;0.0;0.0
12-15;K;95914;89185;139238;68.9;64.1
12-15;M;101180;93981;146576;69.0;64.1
16-19;K;118155;115426;136607;86.5;84.5
16-19;M;120123;116404;142000;84.6;82.0
20-39;K;571499;548746;729832;78.3;75.2
20-39;M;581393;559651;757902;76.7;73.8
40-64;K;875821;867884;952023;92.0;91.2
40-64;M;865731;857905;954014;90.7;89.9
65-79;K;450258;449221;466008;96.6;96.4
65-79;M;414065;413101;428461;96.6;96.4
80+;K;155938;155312;162190;96.1;95.8
80+;M;105245;104945;108590;96.9;96.6
