"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;467351;453597;5436;72.7;70.6;0.8;642533
Frederiksberg;80605;78778;1429;77.8;76.0;1.4;103611
Ballerup;36048;35351;599;73.3;71.9;1.2;49192
Brøndby;23802;23187;480;67.0;65.3;1.4;35506
Dragør;11205;11026;217;76.7;75.5;1.5;14613
Gentofte;56913;55831;1255;76.6;75.1;1.7;74294
Gladsaxe;50703;49585;857;73.4;71.8;1.2;69083
Glostrup;16968;16596;319;72.1;70.5;1.4;23541
Herlev;20847;20382;440;72.3;70.7;1.5;28825
Albertslund;18699;18115;278;68.4;66.2;1.0;27357
Hvidovre;38083;37246;705;71.5;70.0;1.3;53240
Høje Tåstrup;35867;35028;550;68.1;66.5;1.0;52647
Lyngby-Taarbæk;44336;43554;886;76.9;75.6;1.5;57632
Rødovre;29348;28661;490;71.2;69.5;1.2;41234
Ishøj;14668;14171;202;63.6;61.4;0.9;23080
Tårnby;31419;30756;559;73.7;72.1;1.3;42646
Vallensbæk;11464;11194;160;69.4;67.8;1.0;16508
Furesø;31126;30612;626;75.3;74.0;1.5;41345
Allerød;20243;19976;364;78.2;77.2;1.4;25888
Fredensborg;30896;30311;559;75.1;73.7;1.4;41122
Helsingør;48141;47175;866;76.3;74.8;1.4;63061
Hillerød;40237;39645;695;76.4;75.2;1.3;52689
Hørsholm;19664;19388;443;79.4;78.3;1.8;24756
Rudersdal;44593;43857;976;77.8;76.5;1.7;57339
Egedal;33913;33365;507;76.8;75.5;1.1;44184
Frederikssund;35980;35391;623;78.5;77.2;1.4;45846
Greve;37380;36695;659;73.7;72.4;1.3;50704
Køge;46645;45825;792;75.6;74.3;1.3;61696
Halsnæs;24392;24003;434;77.5;76.3;1.4;31475
Roskilde;69040;67961;1169;77.4;76.2;1.3;89180
Solrød;17755;17495;298;75.3;74.2;1.3;23591
Gribskov;32060;31568;670;77.8;76.6;1.6;41226
Odsherred;26040;25703;579;79.0;78.0;1.8;32957
Holbæk;55943;54993;850;77.0;75.7;1.2;72640
Faxe;28070;27680;539;75.7;74.7;1.5;37066
Kalundborg;37013;36476;666;76.4;75.3;1.4;48422
Ringsted;25827;25436;418;73.5;72.3;1.2;35159
Slagelse;59867;58827;975;75.2;73.9;1.2;79637
Stevns;18004;17794;294;77.1;76.2;1.3;23364
Sorø;23142;22832;399;77.2;76.1;1.3;29984
Lejre;21884;21575;388;76.5;75.4;1.4;28610
Lolland;30660;30218;586;76.2;75.1;1.5;40223
Næstved;63742;62750;1148;76.2;75.0;1.4;83654
Guldborgsund;46485;45765;948;77.1;75.9;1.6;60315
Vordingborg;35058;34546;711;77.3;76.2;1.6;45347
Bornholm;31831;31324;645;80.1;78.9;1.6;39715
Middelfart;31122;30682;549;78.8;77.7;1.4;39500
Assens;32318;31795;551;79.1;77.8;1.3;40849
Faaborg-Midtfyn;40579;40032;654;78.3;77.3;1.3;51811
Kerteminde;19021;18738;352;79.3;78.1;1.5;23992
Nyborg;25406;25012;369;79.2;77.9;1.1;32092
Odense;158799;155712;2097;77.1;75.6;1.0;205924
Svendborg;46439;45675;1075;78.6;77.3;1.8;59078
Nordfyn;22984;22634;395;77.5;76.3;1.3;29661
Langeland;9966;9865;238;80.9;80.1;1.9;12321
Ærø;5011;4946;134;83.3;82.2;2.2;6015
Haderslev;41839;41156;625;75.6;74.4;1.1;55317
Billund;20271;20009;352;76.3;75.3;1.3;26567
Sønderborg;57014;56148;821;77.4;76.2;1.1;73668
Tønder;27776;27314;464;75.3;74.1;1.3;36882
Esbjerg;88072;86515;1485;76.3;74.9;1.3;115477
Fanø;2791;2743;63;81.3;79.9;1.8;3434
Varde;37875;37338;700;76.3;75.2;1.4;49669
Vejen;31724;31219;515;74.3;73.1;1.2;42716
Aabenraa;43516;42839;637;74.3;73.2;1.1;58542
Fredericia;39312;38692;740;76.3;75.1;1.4;51531
Horsens;69595;68331;1215;74.1;72.8;1.3;93880
Kolding;69787;68473;1132;74.8;73.4;1.2;93338
Vejle;88754;86993;1562;75.0;73.5;1.3;118307
Herning;68219;67017;1392;76.5;75.1;1.6;89209
Holstebro;45130;44363;916;77.1;75.8;1.6;58526
Lemvig;15433;15229;333;79.7;78.6;1.7;19370
Struer;16485;16224;396;79.3;78.0;1.9;20790
Syddjurs;34271;33776;555;78.6;77.4;1.3;43614
Norddjurs;29168;28784;566;78.8;77.7;1.5;37031
Favrskov;37479;36948;597;76.9;75.8;1.2;48728
Odder;18424;18204;376;79.4;78.5;1.6;23196
Randers;75817;74542;1654;76.8;75.5;1.7;98759
Silkeborg;73562;72269;1267;76.0;74.7;1.3;96771
Samsø;3048;3019;57;82.1;81.3;1.5;3713
Skanderborg;48707;48068;691;76.1;75.1;1.1;63989
Århus;273362;267268;4400;76.9;75.2;1.2;355273
Ikast-Brande;31278;30786;585;74.7;73.5;1.4;41880
Ringkøbing-Skjern;43112;42439;913;76.7;75.5;1.6;56181
Hedensted;36188;35725;643;76.9;75.9;1.4;47046
Morsø;15836;15572;351;79.0;77.6;1.8;20056
Skive;35781;35230;876;79.3;78.1;1.9;45106
Thisted;33566;33053;688;77.9;76.7;1.6;43112
Viborg;74970;73853;1572;77.4;76.3;1.6;96833
Brønderslev;27839;27382;558;76.9;75.7;1.5;36193
Frederikshavn;46707;46062;841;79.3;78.2;1.4;58874
Vesthimmerland;27830;27463;548;76.6;75.6;1.5;36348
Læsø;1475;1459;33;82.1;81.2;1.8;1796
Rebild;23176;22814;361;75.7;74.5;1.2;30632
Mariagerfjord;32586;32126;559;78.5;77.3;1.3;41535
Jammerbugt;29612;29090;449;77.6;76.3;1.2;38149
Aalborg;172080;168366;2700;77.8;76.1;1.2;221134
Hjørring;50306;49542;840;78.8;77.6;1.3;63860
