"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;461013;452929;7928;77.9;76.5;1.3;591689
Midtjylland;1030029;1012075;19004;76.9;75.5;1.4;1339895
Syddanmark;940376;924530;15510;76.7;75.4;1.3;1226691
Hovedstaden;1381402;1349673;22270;74.1;72.4;1.2;1864188
Sjælland;642555;632571;11419;76.3;75.1;1.4;842549
