"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;440463;331539;74.6;56.1;590675
Midtjylland;970068;716202;72.6;53.6;1336423
Syddanmark;887484;659528;72.4;53.8;1225447
Hovedstaden;1303733;1011715;70.2;54.4;1858417
Sjælland;611924;494989;72.7;58.8;842210
