"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-02;Hovedstaden;K;671210;528250;668962;524816;2248;3434
2021-08-02;Hovedstaden;M;632523;483465;630695;480300;1828;3165
2021-08-02;Midtjylland;K;490081;373329;489656;372851;425;478
2021-08-02;Midtjylland;M;479987;342873;479593;342289;394;584
2021-08-02;Nordjylland;K;221110;172391;220625;169744;485;2647
2021-08-02;Nordjylland;M;219353;159148;218875;156075;478;3073
2021-08-02;Sjælland;K;311783;257708;311164;256662;619;1046
2021-08-02;Sjælland;M;300141;237281;299508;236216;633;1065
2021-08-02;Syddanmark;K;450451;344567;449620;342717;831;1850
2021-08-02;Syddanmark;M;437033;314961;436136;313109;897;1852
