"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;436587;299582;639038
Frederiksberg;76306;57109;102723
Ballerup;34183;28079;49097
Brøndby;22480;18725;35549
Dragør;10685;9237;14618
Gentofte;54120;45205;74351
Gladsaxe;47736;37926;68889
Glostrup;16070;12860;23548
Herlev;19673;16242;28835
Albertslund;17437;14163;27237
Hvidovre;36025;28918;53171
Høje-Taastrup;33714;26989;52504
Lyngby-Taarbæk;41935;34240;57072
Rødovre;27667;21961;41187
Ishøj;13561;10938;23056
Tårnby;29761;24410;42648
Vallensbæk;10790;8808;16516
Furesø;29451;24771;41294
Allerød;19409;16166;25948
Fredensborg;29398;24624;41092
Helsingør;45866;38448;63162
Hillerød;38351;31478;52325
Hørsholm;18837;16244;24787
Rudersdal;42243;35560;57262
Egedal;32171;26587;44109
Frederikssund;34285;29110;45869
Greve;35248;28405;50645
Køge;44483;35514;61707
Frederiksværk-Hundested;23399;20028;31464
Roskilde;65408;51124;89099
Solrød;16878;13487;23576
Gribskov;30854;26636;41238
Odsherred;25118;21481;32991
Holbæk;53272;42945;72599
Faxe;26844;21586;37011
Kalundborg;35267;28275;48425
Ringsted;24431;18991;35058
Slagelse;56868;45800;79581
Stevns;17153;14107;23275
Sorø;22083;17900;30024
Lejre;20910;17101;28572
Lolland;29461;24891;40319
Næstved;60488;48024;83518
Guldborgsund;44635;37740;60445
Vordingborg;33377;27618;45365
Bornholm;30739;26671;39828
Middelfart;29622;22849;39467
Assens;30339;23483;40879
Faaborg-Midtfyn;38593;30255;51851
Kerteminde;18042;13981;23973
Nyborg;23957;18468;32100
Odense;148494;101183;204735
Svendborg;44024;34923;58941
Nordfyns;21666;16670;29599
Langeland;9572;8078;12360
Ærø;4768;4067;6010
Haderslev;38891;27980;55412
Billund;19259;14823;26587
Sønderborg;54633;40302;73730
Tønder;25907;19035;36989
Esbjerg;83318;64819;115458
Fanø;2668;2254;3444
Varde;35881;28640;49791
Vejen;30266;22423;42779
Aabenraa;41452;30214;58485
Fredericia;37318;28176;51532
Horsens;65584;48655;93287
Kolding;65596;46312;93087
Vejle;83218;60593;118238
Herning;64167;48262;89331
Holstebro;42453;32535;58611
Lemvig;14810;12294;19466
Struer;15703;12948;20817
Syddjurs;32403;26060;43469
Norddjurs;27827;22405;36967
Favrskov;35451;27002;48726
Odder;17581;13994;23150
Randers;71777;52974;98663
Silkeborg;68641;51471;96671
Samsø;2925;2631;3727
Skanderborg;46300;35384;63964
Århus;254209;168501;352498
Ikast-Brande;29432;22217;41819
Ringkøbing-Skjern;40727;32054;56219
Hedensted;34579;27035;47060
Morsø;15261;12667;20078
Skive;34359;26799;45181
Thisted;32365;26526;43163
Viborg;71140;52981;96797
Brønderslev-Dronninglund;26621;20495;36207
Frederikshavn;44773;37272;58955
Vesthimmerlands;26559;21074;36378
Læsø;1443;1410;1787
Rebild;22188;16592;30625
Mariagerfjord;31189;24620;41601
Jammerbugt;28464;22203;38170
Ålborg;163277;111580;219698
Hjørring;48323;37100;64013
