"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;436587;299582;68.3;46.9;639038
Frederiksberg;76306;57109;74.3;55.6;102723
Ballerup;34183;28079;69.6;57.2;49097
Brøndby;22480;18725;63.2;52.7;35549
Dragør;10685;9237;73.1;63.2;14618
Gentofte;54120;45205;72.8;60.8;74351
Gladsaxe;47736;37926;69.3;55.1;68889
Glostrup;16070;12860;68.2;54.6;23548
Herlev;19673;16242;68.2;56.3;28835
Albertslund;17437;14163;64.0;52.0;27237
Hvidovre;36025;28918;67.8;54.4;53171
Høje Tåstrup;33714;26989;64.2;51.4;52504
Lyngby-Taarbæk;41935;34240;73.5;60.0;57072
Rødovre;27667;21961;67.2;53.3;41187
Ishøj;13561;10938;58.8;47.4;23056
Tårnby;29761;24410;69.8;57.2;42648
Vallensbæk;10790;8808;65.3;53.3;16516
Furesø;29451;24771;71.3;60.0;41294
Allerød;19409;16166;74.8;62.3;25948
Fredensborg;29398;24624;71.5;59.9;41092
Helsingør;45866;38448;72.6;60.9;63162
Hillerød;38351;31478;73.3;60.2;52325
Hørsholm;18837;16244;76.0;65.5;24787
Rudersdal;42243;35560;73.8;62.1;57262
Egedal;32171;26587;72.9;60.3;44109
Frederikssund;34285;29110;74.7;63.5;45869
Greve;35248;28405;69.6;56.1;50645
Køge;44483;35514;72.1;57.6;61707
Halsnæs;23399;20028;74.4;63.7;31464
Roskilde;65408;51124;73.4;57.4;89099
Solrød;16878;13487;71.6;57.2;23576
Gribskov;30854;26636;74.8;64.6;41238
Odsherred;25118;21481;76.1;65.1;32991
Holbæk;53272;42945;73.4;59.2;72599
Faxe;26844;21586;72.5;58.3;37011
Kalundborg;35267;28275;72.8;58.4;48425
Ringsted;24431;18991;69.7;54.2;35058
Slagelse;56868;45800;71.5;57.6;79581
Stevns;17153;14107;73.7;60.6;23275
Sorø;22083;17900;73.6;59.6;30024
Lejre;20910;17101;73.2;59.9;28572
Lolland;29461;24891;73.1;61.7;40319
Næstved;60488;48024;72.4;57.5;83518
Guldborgsund;44635;37740;73.8;62.4;60445
Vordingborg;33377;27618;73.6;60.9;45365
Bornholm;30739;26671;77.2;67.0;39828
Middelfart;29622;22849;75.1;57.9;39467
Assens;30339;23483;74.2;57.4;40879
Faaborg-Midtfyn;38593;30255;74.4;58.3;51851
Kerteminde;18042;13981;75.3;58.3;23973
Nyborg;23957;18468;74.6;57.5;32100
Odense;148494;101183;72.5;49.4;204735
Svendborg;44024;34923;74.7;59.3;58941
Nordfyn;21666;16670;73.2;56.3;29599
Langeland;9572;8078;77.4;65.4;12360
Ærø;4768;4067;79.3;67.7;6010
Haderslev;38891;27980;70.2;50.5;55412
Billund;19259;14823;72.4;55.8;26587
Sønderborg;54633;40302;74.1;54.7;73730
Tønder;25907;19035;70.0;51.5;36989
Esbjerg;83318;64819;72.2;56.1;115458
Fanø;2668;2254;77.5;65.4;3444
Varde;35881;28640;72.1;57.5;49791
Vejen;30266;22423;70.7;52.4;42779
Aabenraa;41452;30214;70.9;51.7;58485
Fredericia;37318;28176;72.4;54.7;51532
Horsens;65584;48655;70.3;52.2;93287
Kolding;65596;46312;70.5;49.8;93087
Vejle;83218;60593;70.4;51.2;118238
Herning;64167;48262;71.8;54.0;89331
Holstebro;42453;32535;72.4;55.5;58611
Lemvig;14810;12294;76.1;63.2;19466
Struer;15703;12948;75.4;62.2;20817
Syddjurs;32403;26060;74.5;60.0;43469
Norddjurs;27827;22405;75.3;60.6;36967
Favrskov;35451;27002;72.8;55.4;48726
Odder;17581;13994;75.9;60.4;23150
Randers;71777;52974;72.7;53.7;98663
Silkeborg;68641;51471;71.0;53.2;96671
Samsø;2925;2631;78.5;70.6;3727
Skanderborg;46300;35384;72.4;55.3;63964
Århus;254209;168501;72.1;47.8;352498
Ikast-Brande;29432;22217;70.4;53.1;41819
Ringkøbing-Skjern;40727;32054;72.4;57.0;56219
Hedensted;34579;27035;73.5;57.4;47060
Morsø;15261;12667;76.0;63.1;20078
Skive;34359;26799;76.0;59.3;45181
Thisted;32365;26526;75.0;61.5;43163
Viborg;71140;52981;73.5;54.7;96797
Brønderslev;26621;20495;73.5;56.6;36207
Frederikshavn;44773;37272;75.9;63.2;58955
Vesthimmerland;26559;21074;73.0;57.9;36378
Læsø;1443;1410;80.7;78.9;1787
Rebild;22188;16592;72.5;54.2;30625
Mariagerfjord;31189;24620;75.0;59.2;41601
Jammerbugt;28464;22203;74.6;58.2;38170
Aalborg;163277;111580;74.3;50.8;219698
Hjørring;48323;37100;75.5;58.0;64013
