"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;440463;331539;590675
Midtjylland;970068;716202;1336423
Syddanmark;887484;659528;1225447
Hovedstaden;1303733;1011715;1858417
Sjælland;611924;494989;842210
