"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16951;31
AstraZeneca Covid-19 vaccine;Midtjylland;33869;90
AstraZeneca Covid-19 vaccine;Syddanmark;30696;351
AstraZeneca Covid-19 vaccine;Hovedstaden;45851;580
AstraZeneca Covid-19 vaccine;Sjælland;23989;397
Janssen COVID-19 vaccine;Nordjylland;3664;3664
Janssen COVID-19 vaccine;Midtjylland;9910;9910
Janssen COVID-19 vaccine;Syddanmark;7524;7524
Janssen COVID-19 vaccine;Hovedstaden;22620;22620
Janssen COVID-19 vaccine;Sjælland;2762;2762
Moderna Covid-19 Vaccine;Nordjylland;66817;34219
Moderna Covid-19 Vaccine;Midtjylland;106866;47194
Moderna Covid-19 Vaccine;Syddanmark;120218;81073
Moderna Covid-19 Vaccine;Hovedstaden;130120;45158
Moderna Covid-19 Vaccine;Sjælland;76665;73259
Pfizer BioNTech Covid-19 vacc;Nordjylland;353031;293625
Pfizer BioNTech Covid-19 vacc;Midtjylland;819423;659008
Pfizer BioNTech Covid-19 vacc;Syddanmark;729046;570580
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1105142;943357
Pfizer BioNTech Covid-19 vacc;Sjælland;508508;418571
