Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.292 (49);   1.321 (51);   2.613
10-19;   3.821 (49);   4.021 (51);   7.842
20-29;   5.304 (51);   5.079 (49);  10.383
30-39;   3.798 (51);   3.606 (49);   7.404
40-49;   4.277 (52);   3.905 (48);   8.182
50-59;   4.091 (51);   3.858 (49);   7.949
60-69;   2.017 (47);   2.230 (53);   4.247
70-79;   1.307 (48);   1.439 (52);   2.746
80-89;     789 (56);     619 (44);   1.408
90+;     292 (72);     114 (28);     406
I alt;  26.988 (51);  26.192 (49);  53.180
