Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.422.601;  97.720;   6.037;   1.237
Sjælland; 578.938;  28.422;   2.096;     369
Syddanmark; 848.083;  26.630;   1.308;     191
Midtjylland; 941.973;  36.211;   1.785;     332
Nordjylland; 460.132;  14.014;     765;     170
I alt i Danmark;4.251.727; 202.997;  11.991;   2.299
