"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,82295,35682,638783
Frederiksberg,19382,8525,103233
Ballerup,10331,4363,49094
Brøndby,7344,3393,35384
Dragør,3507,1488,14556
Gentofte,15978,7204,74320
Gladsaxe,12944,6019,69014
Glostrup,4976,2449,23487
Herlev,6040,2801,28808
Albertslund,5527,2412,27218
Hvidovre,10526,5196,53288
Høje-Taastrup,10069,4536,52188
Lyngby-Taarbæk,11529,5419,57041
Rødovre,7889,3677,41178
Ishøj,4145,1732,23072
Tårnby,8489,3815,42708
Vallensbæk,3563,1618,16550
Furesø,9253,4204,41030
Allerød,5642,2557,25884
Fredensborg,9545,4084,41015
Helsingør,15423,6350,63082
Hillerød,11412,5307,51803
Hørsholm,6760,3017,24829
Rudersdal,13119,6187,56989
Egedal,8749,3396,43790
Frederikssund,11211,4632,45645
Greve,10052,4340,50604
Køge,11344,5578,61550
Frederiksværk-Hundested,8044,3405,31460
Roskilde,17119,8320,88730
Solrød,4311,1983,23489
Gribskov,10496,4281,41042
Odsherred,8161,3341,32922
Holbæk,14368,6660,72085
Faxe,6926,3367,36803
Kalundborg,10159,4486,48438
Ringsted,5850,2754,34973
Slagelse,16751,7692,79336
Stevns,4755,2393,23245
Sorø,6365,2943,29959
Lejre,5759,2682,28447
Lolland,9116,4183,40381
Næstved,16418,8190,83336
Guldborgsund,13971,6587,60368
Vordingborg,10129,4455,45254
Bornholm,11589,4308,39742
Middelfart,8040,4068,39313
Assens,7765,3588,40909
Faaborg-Midtfyn,10438,4703,51683
Kerteminde,4964,2391,23841
Nyborg,6589,3065,31988
Odense,35762,16652,204901
Svendborg,12546,6593,58837
Nordfyns,5658,2557,29548
Langeland,2940,1517,12343
Ærø,1478,771,6012
Haderslev,8854,4617,55396
Billund,4621,2324,26507
Sønderborg,13102,7324,73775
Tønder,6401,3213,37032
Esbjerg,23795,10683,115591
Fanø,891,345,3438
Varde,10166,4785,49706
Vejen,7717,4015,42795
Aabenraa,9827,4645,58602
Fredericia,9701,4958,51368
Horsens,15399,7262,92702
Kolding,15349,7840,93106
Vejle,20652,10016,117631
Herning,16237,8580,89328
Holstebro,11120,5444,58652
Lemvig,4356,2237,19542
Struer,4410,2250,20836
Syddjurs,8796,3987,43409
Norddjurs,7742,3928,36961
Favrskov,8568,3996,48508
Odder,4671,2356,23047
Randers,18674,9210,98366
Silkeborg,17927,8950,96007
Samsø,778,623,3703
Skanderborg,10956,5177,63539
Århus,54453,25361,352286
Ikast-Brande,7561,3720,41605
Ringkøbing-Skjern,10390,5627,56213
Hedensted,8081,4190,46887
Morsø,4216,2628,20085
Skive,9733,5269,45378
Thisted,8603,4100,43142
Viborg,19754,10028,96685
Brønderslev-Dronninglund,6521,3283,36125
Frederikshavn,12489,5951,58953
Vesthimmerlands,7898,3949,36367
Læsø,698,387,1780
Rebild,5577,2800,30501
Mariagerfjord,8816,4500,41573
Jammerbugt,7763,3588,38200
Ålborg,38122,20019,219512
Hjørring,12540,7038,64068
