"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16863,0
AstraZeneca Covid-19 vaccine,Midtjylland,33626,4
AstraZeneca Covid-19 vaccine,Syddanmark,30414,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45126,17
AstraZeneca Covid-19 vaccine,Sjælland,23860,332
Moderna Covid-19 Vaccine,Nordjylland,4705,4204
Moderna Covid-19 Vaccine,Midtjylland,19464,7371
Moderna Covid-19 Vaccine,Syddanmark,16523,8107
Moderna Covid-19 Vaccine,Hovedstaden,26424,10704
Moderna Covid-19 Vaccine,Sjælland,15163,4704
Pfizer BioNTech Covid-19 vacc,Nordjylland,91675,54039
Pfizer BioNTech Covid-19 vacc,Midtjylland,186516,110820
Pfizer BioNTech Covid-19 vacc,Syddanmark,180319,102316
Pfizer BioNTech Covid-19 vacc,Hovedstaden,274227,141336
Pfizer BioNTech Covid-19 vacc,Sjælland,132531,74918
