Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.949 (49); 175.946 (51); 341.895
10-19; 259.948 (50); 257.803 (50); 517.751
20-29; 252.555 (53); 225.566 (47); 478.121
30-39; 244.206 (53); 213.162 (47); 457.368
40-49; 240.318 (54); 207.219 (46); 447.537
50-59; 198.725 (53); 179.329 (47); 378.054
60-69; 121.646 (52); 111.841 (48); 233.487
70-79;  70.885 (50);  69.971 (50); 140.856
80-89;  25.919 (53);  22.844 (47);  48.763
90+;   7.580 (69);   3.378 (31);  10.958
I alt;1.587.731 (52);1.467.059 (48);3.054.790
