"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;491414;467214;222482;83.0;78.9;37.6;591872
Midtjylland;1108394;1048184;531634;82.6;78.1;39.6;1342130
Syddanmark;1009872;957115;486116;82.2;77.9;39.6;1228456
Hovedstaden;1478934;1402776;698689;79.1;75.1;37.4;1868556
Sjælland;685656;653562;342124;81.3;77.5;40.6;843458
