"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17015;82
AstraZeneca Covid-19 vaccine;Midtjylland;33986;195
AstraZeneca Covid-19 vaccine;Syddanmark;30802;460
AstraZeneca Covid-19 vaccine;Hovedstaden;46319;997
AstraZeneca Covid-19 vaccine;Sjælland;23998;453
Janssen COVID-19 vaccine;Nordjylland;3667;3667
Janssen COVID-19 vaccine;Midtjylland;9887;9887
Janssen COVID-19 vaccine;Syddanmark;7611;7611
Janssen COVID-19 vaccine;Hovedstaden;22777;22777
Janssen COVID-19 vaccine;Sjælland;2853;2853
Moderna Covid-19 Vaccine;Nordjylland;71361;70265
Moderna Covid-19 Vaccine;Midtjylland;127010;124118
Moderna Covid-19 Vaccine;Syddanmark;135924;161485
Moderna Covid-19 Vaccine;Hovedstaden;152955;149207
Moderna Covid-19 Vaccine;Sjælland;84941;105106
Pfizer BioNTech Covid-19 vacc;Nordjylland;399371;393200
Pfizer BioNTech Covid-19 vacc;Midtjylland;937511;913984
Pfizer BioNTech Covid-19 vacc;Syddanmark;835535;787559
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1256883;1229795
Pfizer BioNTech Covid-19 vacc;Sjælland;573864;545150
