"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-22;København;K;256844;244579;98270;256411;244364;95349;433;215;2921
2021-12-22;København;M;243828;231244;92142;243389;231030;88915;439;214;3227
2021-12-22;Frederiksberg;K;45744;43725;22478;45691;43704;22034;53;21;444
2021-12-22;Frederiksberg;M;40127;38064;18784;40057;38018;18317;70;46;467
2021-12-22;Ballerup;K;19932;18960;10559;19875;18936;10093;57;24;466
2021-12-22;Ballerup;M;18460;17499;8471;18404;17483;8000;56;16;471
2021-12-22;Brøndby;K;13168;12555;6798;13136;12536;6523;32;19;275
2021-12-22;Brøndby;M;12200;11592;5743;12179;11583;5416;21;9;327
2021-12-22;Dragør;K;6247;5910;3781;6223;5904;3642;24;6;139
2021-12-22;Dragør;M;5842;5483;3290;5810;5481;3147;32;2;143
2021-12-22;Gentofte;K;32317;30533;18887;32259;30506;18443;58;27;444
2021-12-22;Gentofte;M;29017;27227;15967;28965;27191;15554;52;36;413
2021-12-22;Gladsaxe;K;27760;26246;14297;27705;26214;13842;55;32;455
2021-12-22;Gladsaxe;M;26734;25175;11976;26678;25150;11453;56;25;523
2021-12-22;Glostrup;K;9177;8759;4829;9163;8750;4699;14;9;130
2021-12-22;Glostrup;M;8818;8375;3977;8803;8367;3833;15;8;144
2021-12-22;Herlev;K;11606;11028;6310;11580;11020;6118;26;8;192
2021-12-22;Herlev;M;10700;10059;5017;10680;10049;4798;20;10;219
2021-12-22;Albertslund;K;10343;9749;5160;10320;9744;4978;23;5;182
2021-12-22;Albertslund;M;9891;9235;4358;9870;9228;4138;21;7;220
2021-12-22;Hvidovre;K;20903;19770;10650;20848;19760;10296;55;10;354
2021-12-22;Hvidovre;M;19882;18707;9092;19843;18685;8735;39;22;357
2021-12-22;Høje Tåstrup;K;19652;18566;9722;19596;18541;9228;56;25;494
2021-12-22;Høje Tåstrup;M;19272;18160;8517;19226;18129;7929;46;31;588
2021-12-22;Lyngby-Taarbæk;K;24579;23168;13732;24521;23152;13305;58;16;427
2021-12-22;Lyngby-Taarbæk;M;23383;21929;11523;23322;21909;11067;61;20;456
2021-12-22;Rødovre;K;16406;15570;8569;16362;15553;8305;44;17;264
2021-12-22;Rødovre;M;15127;14306;7060;15081;14288;6766;46;18;294
2021-12-22;Ishøj;K;8098;7670;3946;8087;7658;3817;11;12;129
2021-12-22;Ishøj;M;7796;7336;3535;7780;7319;3361;16;17;174
2021-12-22;Tårnby;K;17300;16392;9106;17255;16381;8747;45;11;359
2021-12-22;Tårnby;M;16415;15422;7839;16359;15410;7427;56;12;412
2021-12-22;Vallensbæk;K;6266;5895;3274;6257;5894;3160;9;1;114
2021-12-22;Vallensbæk;M;6069;5692;2921;6067;5684;2784;2;8;137
2021-12-22;Furesø;K;17380;16367;9951;17345;16355;9661;35;12;290
2021-12-22;Furesø;M;16274;15188;8372;16235;15179;8056;39;9;316
2021-12-22;Allerød;K;11148;10525;6293;11128;10524;5953;20;1;340
2021-12-22;Allerød;M;10557;9911;5394;10529;9903;5066;28;8;328
2021-12-22;Fredensborg;K;17233;16362;9510;17188;16347;9108;45;15;402
2021-12-22;Fredensborg;M;15777;14931;8097;15723;14914;7693;54;17;404
2021-12-22;Helsingør;K;26715;25521;15193;26625;25509;14677;90;12;516
2021-12-22;Helsingør;M;24412;23207;12589;24334;23192;11991;78;15;598
2021-12-22;Hillerød;K;22348;21212;11402;22314;21197;10884;34;15;518
2021-12-22;Hillerød;M;21080;19924;9413;21052;19913;8846;28;11;567
2021-12-22;Hørsholm;K;11199;10728;6928;11181;10717;6697;18;11;231
2021-12-22;Hørsholm;M;9695;9219;5547;9677;9216;5337;18;3;210
2021-12-22;Rudersdal;K;24676;23355;14534;24633;23334;14138;43;21;396
2021-12-22;Rudersdal;M;23147;21770;12636;23103;21756;12202;44;14;434
2021-12-22;Egedal;K;18524;17583;10014;18511;17579;9676;13;4;338
2021-12-22;Egedal;M;17874;16908;8813;17852;16899;8424;22;9;389
2021-12-22;Frederikssund;K;19494;18703;11177;19466;18693;10789;28;10;388
2021-12-22;Frederikssund;M;18542;17672;9489;18512;17660;9040;30;12;449
2021-12-22;Greve;K;20544;19535;11276;20512;19525;10802;32;10;474
2021-12-22;Greve;M;19592;18500;9951;19561;18499;9398;31;1;553
2021-12-22;Køge;K;25292;24197;12894;25251;24189;12276;41;8;618
2021-12-22;Køge;M;24379;23212;10879;24344;23199;10213;35;13;666
2021-12-22;Halsnæs;K;13077;12574;7574;13065;12568;7361;12;6;213
2021-12-22;Halsnæs;M;12555;12046;6506;12548;12037;6244;7;9;262
2021-12-22;Roskilde;K;38122;36356;20473;38052;36326;19660;70;30;813
2021-12-22;Roskilde;M;35887;33951;17332;35791;33923;16388;96;28;944
2021-12-22;Solrød;K;9828;9385;5219;9803;9380;4982;25;5;237
2021-12-22;Solrød;M;9356;8828;4624;9331;8821;4365;25;7;259
2021-12-22;Gribskov;K;17055;16387;9763;17025;16365;9170;30;22;593
2021-12-22;Gribskov;M;16640;15974;8625;16616;15954;7980;24;20;645
2021-12-22;Odsherred;K;13760;13274;7238;13747;13267;6877;13;7;361
2021-12-22;Odsherred;M;13588;13089;6433;13580;13085;6085;8;4;348
2021-12-22;Holbæk;K;30480;29062;15494;30436;29032;14798;44;30;696
2021-12-22;Holbæk;M;29317;27882;12887;29266;27862;12083;51;20;804
2021-12-22;Faxe;K;14942;14332;7669;14929;14325;7287;13;7;382
2021-12-22;Faxe;M;14979;14316;6877;14958;14308;6470;21;8;407
2021-12-22;Kalundborg;K;19716;18911;10023;19682;18903;9466;34;8;557
2021-12-22;Kalundborg;M;19594;18670;8793;19552;18652;8193;42;18;600
2021-12-22;Ringsted;K;14037;13326;6546;14010;13304;6084;27;22;462
2021-12-22;Ringsted;M;13701;12950;5653;13677;12940;5119;24;10;534
2021-12-22;Slagelse;K;32573;31016;16736;32503;30999;15850;70;17;886
2021-12-22;Slagelse;M;31576;29891;13883;31501;29864;12913;75;27;970
2021-12-22;Stevns;K;9581;9167;5001;9571;9163;4719;10;4;282
2021-12-22;Stevns;M;9588;9162;4451;9574;9156;4178;14;6;273
2021-12-22;Sorø;K;12541;11943;6523;12504;11935;6129;37;8;394
2021-12-22;Sorø;M;12285;11585;5597;12249;11570;5159;36;15;438
2021-12-22;Lejre;K;11872;11268;6589;11854;11261;6325;18;7;264
2021-12-22;Lejre;M;11565;10965;5997;11541;10955;5640;24;10;357
2021-12-22;Lolland;K;16304;15655;9552;16289;15643;9257;15;12;295
2021-12-22;Lolland;M;16160;15484;8714;16146;15472;8350;14;12;364
2021-12-22;Næstved;K;34847;33221;18112;34793;33199;17188;54;22;924
2021-12-22;Næstved;M;33449;31753;15527;33389;31730;14437;60;23;1090
2021-12-22;Guldborgsund;K;24894;23874;13902;24869;23861;13345;25;13;557
2021-12-22;Guldborgsund;M;24308;23285;11983;24275;23258;11340;33;27;643
2021-12-22;Vordingborg;K;18716;18005;10200;18685;18001;9672;31;4;528
2021-12-22;Vordingborg;M;18283;17512;9096;18248;17501;8514;35;11;582
2021-12-22;Bornholm;K;17082;16397;10816;17067;16388;10462;15;9;354
2021-12-22;Bornholm;M;16547;15732;9473;16538;15728;8992;9;4;481
2021-12-22;Middelfart;K;16889;15978;9567;16851;15963;9095;38;15;472
2021-12-22;Middelfart;M;16584;15643;8416;16556;15626;7860;28;17;556
2021-12-22;Assens;K;17287;16487;8740;17221;16477;8252;66;10;488
2021-12-22;Assens;M;17191;16270;7527;17133;16255;6975;58;15;552
2021-12-22;Faaborg-Midtfyn;K;21862;20761;11413;21813;20749;10683;49;12;730
2021-12-22;Faaborg-Midtfyn;M;21673;20453;9742;21629;20444;8931;44;9;811
2021-12-22;Kerteminde;K;10361;9911;5763;10330;9895;5466;31;16;297
2021-12-22;Kerteminde;M;9887;9374;4814;9856;9363;4491;31;11;323
2021-12-22;Nyborg;K;13815;13180;6858;13777;13171;6449;38;9;409
2021-12-22;Nyborg;M;13273;12582;5600;13246;12563;5170;27;19;430
