"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90786;0.0;0.0
0-2;M;1;0;95771;0.0;0.0
3-5;K;5736;1;91135;6.3;0.0
3-5;M;6287;3;96367;6.5;0.0
6-11;K;71835;1366;179860;39.9;0.8
6-11;M;75877;1491;189130;40.1;0.8
12-15;K;116968;109072;144457;81.0;75.5
12-15;M;122879;114556;152146;80.8;75.3
16-19;K;123342;120306;137122;90.0;87.7
16-19;M;125909;121986;142255;88.5;85.8
20-39;K;615874;593676;732578;84.1;81.0
20-39;M;620394;597429;761727;81.4;78.4
40-64;K;889407;881441;952459;93.4;92.5
40-64;M;880435;871683;954485;92.2;91.3
65-79;K;450246;448935;464247;97.0;96.7
65-79;M;413418;412196;425921;97.1;96.8
80+;K;152871;152264;158351;96.5;96.2
80+;M;102782;102444;105675;97.3;96.9
