"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;45815;50;298301;15.4;0.0
0-9;M;48968;42;314983;15.5;0.0
10-19;K;272075;230697;345059;78.8;66.9
10-19;M;281985;237994;360686;78.2;66.0
20-29;K;317171;305449;381515;83.1;80.1
20-29;M;323322;310126;398333;81.2;77.9
30-39;K;298703;288227;351063;85.1;82.1
30-39;M;297072;287303;363394;81.7;79.1
40-49;K;343687;339186;374807;91.7;90.5
40-49;M;335826;330917;375610;89.4;88.1
50-59;K;377662;374977;401596;94.0;93.4
50-59;M;378673;375697;405018;93.5;92.8
60-69;K;325617;324278;339460;95.9;95.5
60-69;M;316670;315252;330086;95.9;95.5
70-79;K;292687;291935;300843;97.3;97.0
70-79;M;262684;262013;269692;97.4;97.2
80-89;K;127652;127224;131705;96.9;96.6
80-89;M;92642;92354;95116;97.4;97.1
90+;K;25219;25040;26646;94.6;94.0
90+;M;10140;10090;10559;96.0;95.6
