"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90785;0.0;0.0
0-2;M;1;0;95771;0.0;0.0
3-5;K;5625;1;91024;6.2;0.0
3-5;M;6179;3;96259;6.4;0.0
6-11;K;71419;1319;179444;39.8;0.7
6-11;M;75389;1418;188642;40.0;0.8
12-15;K;105007;96718;132496;79.3;73.0
12-15;M;110779;102050;140046;79.1;72.9
16-19;K;120529;117538;134309;89.7;87.5
16-19;M;124103;120265;140449;88.4;85.6
20-39;K;616146;593882;732850;84.1;81.0
20-39;M;621709;598621;763042;81.5;78.5
40-64;K;883211;875220;946263;93.3;92.5
40-64;M;873696;864891;947746;92.2;91.3
65-79;K;456395;455056;470396;97.0;96.7
65-79;M;420732;419488;433235;97.1;96.8
80+;K;167948;167327;173428;96.8;96.5
80+;M;115394;115052;118287;97.6;97.3
