Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     313 (48);     333 (52);     646
10-19;     745 (51);     721 (49);   1.466
20-29;   1.734 (55);   1.396 (45);   3.130
30-39;   1.470 (55);   1.213 (45);   2.683
40-49;   1.687 (57);   1.286 (43);   2.973
50-59;   1.680 (56);   1.310 (44);   2.990
60-69;     867 (48);     931 (52);   1.798
70-79;     583 (46);     677 (54);   1.260
80-89;     506 (57);     381 (43);     887
90+;     202 (72);      78 (28);     280
I alt;   9.787 (54);   8.326 (46);  18.113
