"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,2
AstraZeneca Covid-19 vaccine,Midtjylland,33667,14
AstraZeneca Covid-19 vaccine,Syddanmark,30440,258
AstraZeneca Covid-19 vaccine,Hovedstaden,45211,185
AstraZeneca Covid-19 vaccine,Sjælland,23871,333
Moderna Covid-19 Vaccine,Nordjylland,12340,4458
Moderna Covid-19 Vaccine,Midtjylland,23068,14998
Moderna Covid-19 Vaccine,Syddanmark,22970,18109
Moderna Covid-19 Vaccine,Hovedstaden,33201,20366
Moderna Covid-19 Vaccine,Sjælland,21240,17718
Pfizer BioNTech Covid-19 vacc,Nordjylland,130807,82668
Pfizer BioNTech Covid-19 vacc,Midtjylland,275862,174792
Pfizer BioNTech Covid-19 vacc,Syddanmark,274011,146106
Pfizer BioNTech Covid-19 vacc,Hovedstaden,380553,261355
Pfizer BioNTech Covid-19 vacc,Sjælland,181025,125675
