"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,110444,62802,638702
Frederiksberg,25184,15708,103196
Ballerup,13599,8627,49062
Brøndby,9494,6298,35399
Dragør,4673,3045,14592
Gentofte,21055,13266,74257
Gladsaxe,17315,10282,68950
Glostrup,6316,4240,23501
Herlev,8016,4818,28806
Albertslund,6974,4774,27199
Hvidovre,13736,9015,53268
Høje-Taastrup,13051,8831,52270
Lyngby-Taarbæk,15438,9614,57073
Rødovre,10698,6437,41194
Ishøj,5398,3620,23076
Tårnby,11618,7147,42705
Vallensbæk,4388,3184,16557
Furesø,12123,7677,41082
Allerød,7531,4677,25921
Fredensborg,12825,7795,41025
Helsingør,20514,12447,63104
Hillerød,15099,9206,51842
Hørsholm,8697,5748,24846
Rudersdal,17049,11008,57053
Egedal,11823,7359,43937
Frederikssund,15075,9470,45713
Greve,12788,8564,50626
Køge,14834,9543,61537
Frederiksværk-Hundested,11418,6687,31487
Roskilde,22323,14142,88787
Solrød,5638,3690,23499
Gribskov,14895,8533,41096
Odsherred,11098,6896,32909
Holbæk,19506,11876,72204
Faxe,9223,5907,36852
Kalundborg,13395,8576,48412
Ringsted,7520,4840,35035
Slagelse,22042,13679,79418
Stevns,6296,4103,23262
Sorø,8208,5221,29930
Lejre,7860,4825,28470
Lolland,12022,7833,40347
Næstved,21727,13718,83409
Guldborgsund,18511,11677,60405
Vordingborg,13145,8636,45263
Bornholm,14519,9591,39761
Middelfart,11272,5808,39341
Assens,11834,5451,40867
Faaborg-Midtfyn,15139,7093,51703
Kerteminde,7171,3609,23866
Nyborg,9129,4569,32025
Odense,50965,26389,204917
Svendborg,18218,8569,58820
Nordfyns,8449,4141,29543
Langeland,4547,2058,12343
Ærø,2285,1122,6007
Haderslev,14036,5800,55371
Billund,6568,3667,26526
Sønderborg,21228,9162,73778
Tønder,9723,4125,36999
Esbjerg,31036,19332,115590
Fanø,1325,754,3443
Varde,13853,8515,49726
Vejen,10559,6004,42812
Aabenraa,16247,5544,58584
Fredericia,13239,6900,51429
Horsens,21700,11988,92785
Kolding,21784,11053,93084
Vejle,28814,14808,117757
Herning,22991,13721,89347
Holstebro,15780,9200,58687
Lemvig,6019,3472,19513
Struer,6419,3795,20829
Syddjurs,12846,6888,43420
Norddjurs,11306,6457,36975
Favrskov,12070,6398,48540
Odder,6515,3914,23050
Randers,25311,13836,98420
Silkeborg,24292,13785,96085
Samsø,1477,688,3708
Skanderborg,14833,8734,63617
Århus,72485,41958,352325
Ikast-Brande,10419,6305,41619
Ringkøbing-Skjern,15451,8903,56223
Hedensted,12209,6639,46958
Morsø,6154,3507,20081
Skive,13766,8282,45346
Thisted,12599,6534,43149
Viborg,26708,14841,96708
Brønderslev-Dronninglund,9483,5270,36066
Frederikshavn,18438,10928,58949
Vesthimmerlands,10806,6208,36367
Læsø,1092,538,1779
Rebild,7603,4028,30506
Mariagerfjord,11745,6486,41578
Jammerbugt,10211,5233,38183
Ålborg,52768,28496,219520
Hjørring,19116,9900,64080
