"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-10,Hovedstaden,K,266787,167080,264028,162260,2759,4820
2021-05-10,Hovedstaden,M,192178,114826,189291,111478,2887,3348
2021-05-10,Midtjylland,K,195247,111331,195197,111287,50,44
2021-05-10,Midtjylland,M,137350,78473,137301,78439,49,34
2021-05-10,Nordjylland,K,93266,50914,92762,49952,504,962
2021-05-10,Nordjylland,M,66749,36214,66261,35364,488,850
2021-05-10,Sjælland,K,130671,81834,128416,79333,2255,2501
2021-05-10,Sjælland,M,95465,61892,93146,60640,2319,1252
2021-05-10,Syddanmark,K,189299,96257,186981,94653,2318,1604
2021-05-10,Syddanmark,M,138122,68216,135815,66860,2307,1356
