Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.560.501; 124.821;   7.258;   1.329
Sjælland; 652.209;  35.666;   2.501;     403
Syddanmark; 973.697;  37.432;   1.747;     219
Midtjylland;1.062.883;  45.842;   2.158;     353
Nordjylland; 496.784;  17.995;     924;     183
