"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2374;1537
Hovedstaden;03-05;M;2573;1672
Hovedstaden;06-11;K;25879;19818
Hovedstaden;06-11;M;27113;20726
Hovedstaden;12-15;K;30699;29487
Hovedstaden;12-15;M;32554;31253
Hovedstaden;16-19;K;34557;33961
Hovedstaden;16-19;M;35363;34586
Hovedstaden;20-39;K;233118;228621
Hovedstaden;20-39;M;223872;218919
Hovedstaden;40-64;K;271920;270033
Hovedstaden;40-64;M;267164;265259
Hovedstaden;65-79;K;126801;126494
Hovedstaden;65-79;M;109511;109254
Hovedstaden;80+;K;48100;47944
Hovedstaden;80+;M;29912;29841
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2029;1409
Midtjylland;03-05;M;2199;1516
Midtjylland;06-11;K;23141;18945
Midtjylland;06-11;M;24526;20071
Midtjylland;12-15;K;26240;25536
Midtjylland;12-15;M;27385;26599
Midtjylland;16-19;K;29640;29352
Midtjylland;16-19;M;30390;30007
Midtjylland;20-39;K;148807;146440
Midtjylland;20-39;M;151523;148737
Midtjylland;40-64;K;199170;198353
Midtjylland;40-64;M;197895;197026
Midtjylland;65-79;K;101970;101837
Midtjylland;65-79;M;96520;96390
Midtjylland;80+;K;36501;36418
Midtjylland;80+;M;26134;26096
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;803;563
Nordjylland;03-05;M;881;606
Nordjylland;06-11;K;9409;7643
Nordjylland;06-11;M;9775;7878
Nordjylland;12-15;K;10903;10554
Nordjylland;12-15;M;11610;11243
Nordjylland;16-19;K;12347;12224
Nordjylland;16-19;M;12953;12754
Nordjylland;20-39;K;59631;58559
Nordjylland;20-39;M;64582;63165
Nordjylland;40-64;K;88499;88105
Nordjylland;40-64;M;88735;88289
Nordjylland;65-79;K;49826;49736
Nordjylland;65-79;M;47779;47702
Nordjylland;80+;K;18521;18488
Nordjylland;80+;M;13461;13434
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1025;727
Sjælland;03-05;M;1136;774
Sjælland;06-11;K;11871;9556
Sjælland;06-11;M;12654;10258
Sjælland;12-15;K;15750;15315
Sjælland;12-15;M;16706;16216
Sjælland;16-19;K;17858;17636
Sjælland;16-19;M;19056;18736
Sjælland;20-39;K;67626;66105
Sjælland;20-39;M;69699;68008
Sjælland;40-64;K;136346;135563
Sjælland;40-64;M;133745;133015
Sjælland;65-79;K;76240;76100
Sjælland;65-79;M;70875;70754
Sjælland;80+;K;26164;26089
Sjælland;80+;M;18745;18715
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1632;1178
Syddanmark;03-05;M;1755;1285
Syddanmark;06-11;K;19580;16235
Syddanmark;06-11;M;20786;17325
Syddanmark;12-15;K;23387;22685
Syddanmark;12-15;M;24624;23898
Syddanmark;16-19;K;26863;26570
Syddanmark;16-19;M;27431;27006
Syddanmark;20-39;K;115230;113069
Syddanmark;20-39;M;119976;117356
Syddanmark;40-64;K;188970;188070
Syddanmark;40-64;M;187814;186813
Syddanmark;65-79;K;102562;102408
Syddanmark;65-79;M;97010;96859
Syddanmark;80+;K;39302;39218
Syddanmark;80+;M;27758;27719
