"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499715;490943;591728
Midtjylland;1124073;1104733;1343014
Syddanmark;1024682;1007695;1228625
Hovedstaden;1501513;1469405;1869335
Sjælland;695496;683567;843721
