"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90635;0.0;0.0
00-02;M;1;0;95650;0.0;0.0
03-05;K;7863;5414;91152;8.6;5.9
03-05;M;8544;5853;96360;8.9;6.1
06-11;K;89880;72197;178831;50.3;40.4
06-11;M;94854;76258;187967;50.5;40.6
12-15;K;106979;103577;132712;80.6;78.0
12-15;M;112879;109209;140282;80.5;77.8
16-19;K;121265;119743;134116;90.4;89.3
16-19;M;125193;123089;140388;89.2;87.7
20-39;K;624412;612794;733773;85.1;83.5
20-39;M;629652;616185;764245;82.4;80.6
40-64;K;884905;880124;946028;93.5;93.0
40-64;M;875353;870402;947368;92.4;91.9
65-79;K;457399;456575;470937;97.1;97.0
65-79;M;421695;420959;433620;97.2;97.1
80+;K;168588;168157;173672;97.1;96.8
80+;M;116010;115805;118687;97.7;97.6
