"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60282;46050;297800;20.2;15.5
0-9;M;64299;49110;314465;20.4;15.6
10-19;K;265712;254883;329646;80.6;77.3
10-19;M;277172;265299;346182;80.1;76.6
20-29;K;322988;316818;382739;84.4;82.8
20-29;M;328449;320655;399048;82.3;80.4
30-39;K;301424;295976;351034;85.9;84.3
30-39;M;301203;295530;365197;82.5;80.9
40-49;K;337245;334615;367262;91.8;91.1
40-49;M;328817;326041;367601;89.4;88.7
50-59;K;378007;376352;401295;94.2;93.8
50-59;M;379453;377791;405096;93.7;93.3
60-69;K;329049;328205;342575;96.1;95.8
60-69;M;319605;318745;332477;96.1;95.9
70-79;K;298003;297527;305833;97.4;97.3
70-79;M;269173;268784;275814;97.6;97.5
80-89;K;137981;137688;141783;97.3;97.1
80-89;M;102977;102809;105279;97.8;97.7
90+;K;30607;30469;31889;96.0;95.5
90+;M;13033;12996;13408;97.2;96.9
