"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-15;Hovedstaden;K;773451;757895;570123;773501;757920;569801;-50;-25;322
2022-02-15;Hovedstaden;M;728062;711510;523573;728119;711524;523311;-57;-14;262
2022-02-15;Midtjylland;K;567500;558291;432585;567548;558270;432284;-48;21;301
2022-02-15;Midtjylland;M;556573;546442;411757;556623;546427;411475;-50;15;282
2022-02-15;Nordjylland;K;249939;245872;192629;249964;245887;192548;-25;-15;81
2022-02-15;Nordjylland;M;249776;245071;185244;249803;245085;185171;-27;-14;73
2022-02-15;Sjælland;K;352880;347091;271836;352897;347089;271706;-17;2;130
2022-02-15;Sjælland;M;342616;336476;255155;342650;336478;255069;-34;-2;86
2022-02-15;Syddanmark;K;517528;509434;396165;517578;509433;396036;-50;1;129
2022-02-15;Syddanmark;M;507154;498261;375269;507209;498269;375134;-55;-8;135
