"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508338;497138;645504
Frederiksberg;86731;85096;103623
Ballerup;39041;38184;49291
Brøndby;25886;25142;35797
Dragør;12263;11980;14599
Gentofte;62251;61028;74246
Gladsaxe;55553;54291;69273
Glostrup;18259;17840;23466
Herlev;22659;22090;28814
Albertslund;20641;20000;27602
Hvidovre;41496;40388;53176
Høje-Taastrup;39744;38748;53202
Lyngby-Taarbæk;48617;47543;57812
Rødovre;32137;31324;41438
Ishøj;16186;15689;23257
Tårnby;34254;33500;42714
Vallensbæk;12562;12240;16528
Furesø;34238;33521;41401
Allerød;22008;21621;25851
Fredensborg;33573;32942;41242
Helsingør;51703;50752;62846
Hillerød;44095;43300;53318
Hørsholm;21107;20752;24710
Rudersdal;48455;47538;57239
Egedal;36969;36320;44446
Frederikssund;38516;37832;45795
Greve;40775;39963;50846
Køge;50467;49461;61682
Frederiksværk-Hundested;25998;25498;31340
Roskilde;75122;73820;89562
Solrød;19499;19134;23819
Gribskov;34177;33601;41164
Odsherred;27640;27252;32810
Holbæk;60722;59695;72918
Faxe;30436;29883;37143
Kalundborg;39806;39149;48371
Ringsted;28231;27723;35194
Slagelse;65047;63828;79724
Stevns;19496;19139;23511
Sorø;25175;24805;29983
Lejre;23732;23361;28573
Lolland;32833;32319;40054
Næstved;69331;68208;83946
Guldborgsund;49742;49015;60291
Vordingborg;37442;36812;45294
Bornholm;34056;33507;39641
Middelfart;33920;33415;39628
Assens;34989;34424;40933
Faaborg-Midtfyn;44264;43515;51866
Kerteminde;20525;20173;24014
Nyborg;27537;27098;32096
Odense;172286;169142;206032
Svendborg;50607;49825;59225
Nordfyns;24985;24542;29727
Langeland;10581;10449;12327
Ærø;5273;5187;6020
Haderslev;45630;44867;55288
Billund;22202;21856;26698
Sønderborg;61663;60679;73709
Tønder;29963;29480;36813
Esbjerg;95772;94218;115478
Fanø;2961;2926;3417
Varde;41206;40485;49659
Vejen;34973;34350;42580
Aabenraa;47264;46577;58677
Fredericia;43089;42375;51607
Horsens;77122;75845;94705
Kolding;77016;75778;93602
Vejle;97976;96334;119229
Herning;74709;73480;89317
Holstebro;49459;48603;58546
Lemvig;16559;16345;19376
Struer;17860;17573;20780
Syddjurs;36953;36372;43670
Norddjurs;31284;30800;36902
Favrskov;41422;40691;48918
Odder;19994;19683;23353
Randers;82624;81223;99090
Silkeborg;81052;79621;97616
Samsø;3247;3214;3709
Skanderborg;53966;52916;64417
Århus;296018;290338;355492
Ikast-Brande;34377;33843;41906
Ringkøbing-Skjern;46922;46172;56189
Hedensted;39604;39067;47137
Morsø;17064;16750;20076
Skive;38823;38242;45063
Thisted;36358;35733;43078
Viborg;82078;80705;96828
Brønderslev-Dronninglund;30526;29980;36239
Frederikshavn;50185;49434;58840
Vesthimmerlands;30067;29551;36275
Læsø;1533;1517;1780
Rebild;25489;25003;30681
Mariagerfjord;35232;34551;41616
Jammerbugt;32332;31736;38162
Ålborg;186433;183045;221153
Hjørring;54496;53643;63828
