"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18396;13437
Hovedstaden;0-9;M;19490;14264
Hovedstaden;10-19;K;81152;77346
Hovedstaden;10-19;M;83720;79504
Hovedstaden;20-29;K;122792;120408
Hovedstaden;20-29;M;116147;113319
Hovedstaden;30-39;K;110894;108801
Hovedstaden;30-39;M;108220;106129
Hovedstaden;40-49;K;112744;111642
Hovedstaden;40-49;M;109520;108469
Hovedstaden;50-59;K;113272;112668
Hovedstaden;50-59;M;112436;111800
Hovedstaden;60-69;K;88996;88718
Hovedstaden;60-69;M;84339;84033
Hovedstaden;70-79;K;82108;81928
Hovedstaden;70-79;M;68199;68071
Hovedstaden;80-89;K;35877;35768
Hovedstaden;80-89;M;23464;23404
Hovedstaden;90+;K;7220;7179
Hovedstaden;90+;M;2527;2517
Midtjylland;0-9;K;16234;12636
Midtjylland;0-9;M;17339;13479
Midtjylland;10-19;K;69766;67526
Midtjylland;10-19;M;71755;69269
Midtjylland;20-29;K;79931;78625
Midtjylland;20-29;M;81721;80055
Midtjylland;30-39;K;68398;67341
Midtjylland;30-39;M;69172;68071
Midtjylland;40-49;K;77851;77416
Midtjylland;40-49;M;76949;76452
Midtjylland;50-59;K;84505;84230
Midtjylland;50-59;M;84974;84694
Midtjylland;60-69;K;74433;74279
Midtjylland;60-69;M;72889;72744
Midtjylland;70-79;K;63763;63700
Midtjylland;70-79;M;58950;58890
Midtjylland;80-89;K;27359;27302
Midtjylland;80-89;M;20580;20549
Midtjylland;90+;K;5260;5236
Midtjylland;90+;M;2244;2239
Nordjylland;0-9;K;6609;5115
Nordjylland;0-9;M;6917;5295
Nordjylland;10-19;K;28882;27886
Nordjylland;10-19;M;30318;29177
Nordjylland;20-29;K;31579;30960
Nordjylland;20-29;M;35371;34515
Nordjylland;30-39;K;27937;27490
Nordjylland;30-39;M;28871;28323
Nordjylland;40-49;K;32471;32274
Nordjylland;40-49;M;32625;32392
Nordjylland;50-59;K;38485;38338
Nordjylland;50-59;M;38913;38759
Nordjylland;60-69;K;35824;35732
Nordjylland;60-69;M;35313;35233
Nordjylland;70-79;K;31617;31574
Nordjylland;70-79;M;29714;29670
Nordjylland;80-89;K;13894;13874
Nordjylland;80-89;M;10572;10551
Nordjylland;90+;K;2641;2629
Nordjylland;90+;M;1162;1156
Sjælland;0-9;K;8129;6301
Sjælland;0-9;M;8805;6816
Sjælland;10-19;K;40926;39469
Sjælland;10-19;M;43411;41801
Sjælland;20-29;K;30302;29541
Sjælland;20-29;M;33057;32119
Sjælland;30-39;K;37434;36669
Sjælland;30-39;M;36243;35506
Sjælland;40-49;K;50663;50261
Sjælland;40-49;M;48507;48114
Sjælland;50-59;K;60031;59756
Sjælland;50-59;M;60233;59996
Sjælland;60-69;K;52851;52705
Sjælland;60-69;M;51389;51245
Sjælland;70-79;K;49342;49259
Sjælland;70-79;M;44778;44715
Sjælland;80-89;K;19739;19690
Sjælland;80-89;M;14765;14742
Sjælland;90+;K;3463;3440
Sjælland;90+;M;1428;1422
Syddanmark;0-9;K;13552;10784
Syddanmark;0-9;M;14547;11631
Syddanmark;10-19;K;62101;60056
Syddanmark;10-19;M;64124;61902
Syddanmark;20-29;K;57256;56092
Syddanmark;20-29;M;61582;60073
Syddanmark;30-39;K;57527;56537
Syddanmark;30-39;M;57629;56548
Syddanmark;40-49;K;71257;70770
Syddanmark;40-49;M;69630;69066
Syddanmark;50-59;K;82033;81715
Syddanmark;50-59;M;82841;82525
Syddanmark;60-69;K;73561;73403
Syddanmark;60-69;M;72701;72537
Syddanmark;70-79;K;65146;65064
Syddanmark;70-79;M;59957;59873
Syddanmark;80-89;K;29449;29396
Syddanmark;80-89;M;21838;21806
Syddanmark;90+;K;5646;5617
Syddanmark;90+;M;2305;2300
