"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62920;48273;300438;20.9;16.1
0-9;M;67098;51485;317264;21.1;16.2
10-19;K;282827;272283;346761;81.6;78.5
10-19;M;293328;281653;362338;81.0;77.7
20-29;K;321860;315626;381611;84.3;82.7
20-29;M;327878;320081;398477;82.3;80.3
30-39;K;302190;296838;351800;85.9;84.4
30-39;M;300135;294577;364129;82.4;80.9
40-49;K;344986;342363;375003;92.0;91.3
40-49;M;337231;334493;376015;89.7;89.0
50-59;K;378326;376707;401614;94.2;93.8
50-59;M;379397;377774;405040;93.7;93.3
60-69;K;325665;324837;339191;96.0;95.8
60-69;M;316631;315792;329503;96.1;95.8
70-79;K;291976;291525;299806;97.4;97.2
70-79;M;261598;261219;268239;97.5;97.4
80-89;K;126318;126030;130120;97.1;96.9
80-89;M;91219;91052;93521;97.5;97.4
90+;K;24230;24101;25512;95.0;94.5
90+;M;9666;9634;10041;96.3;95.9
