"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;487313;470655;84954;75.5;73.0;13.2;645167
Frederiksberg;83503;81080;20601;80.4;78.1;19.8;103800
Ballerup;37217;36141;9540;75.6;73.4;19.4;49227
Brøndby;24771;23887;6258;69.5;67.0;17.6;35634
Dragør;11635;11281;3484;79.6;77.1;23.8;14623
Gentofte;59171;57193;16586;79.7;77.1;22.4;74206
Gladsaxe;52547;50977;12114;75.8;73.6;17.5;69291
Glostrup;17505;16967;4435;74.5;72.2;18.9;23495
Herlev;21527;20845;5852;74.7;72.3;20.3;28819
Albertslund;19640;18764;5041;71.2;68.0;18.3;27575
Hvidovre;39398;38107;9484;74.0;71.5;17.8;53267
Høje Tåstrup;37729;36241;9696;71.4;68.5;18.3;52874
Lyngby-Taarbæk;46117;44680;11762;79.7;77.2;20.3;57873
Rødovre;30563;29573;7212;73.8;71.4;17.4;41417
Ishøj;15450;14805;3964;66.7;63.9;17.1;23153
Tårnby;32744;31496;7909;76.7;73.7;18.5;42711
Vallensbæk;11905;11490;3362;72.2;69.7;20.4;16482
Furesø;32233;31299;9232;77.9;75.6;22.3;41401
Allerød;20835;20319;5767;80.5;78.5;22.3;25870
Fredensborg;31917;31068;9282;77.6;75.5;22.6;41140
Helsingør;49780;48278;14645;79.1;76.7;23.3;62962
Hillerød;41890;40819;11073;78.7;76.7;20.8;53205
Hørsholm;20326;19819;6851;82.0;80.0;27.7;24773
Rudersdal;46015;44782;13537;80.3;78.1;23.6;57305
Egedal;35166;34200;8696;79.3;77.1;19.6;44345
Frederikssund;37043;36100;10513;81.0;78.9;23.0;45750
Greve;38848;37733;10445;76.5;74.3;20.6;50806
Køge;48338;47026;11544;78.3;76.2;18.7;61752
Halsnæs;25072;24447;7894;80.0;78.0;25.2;31335
Roskilde;71731;69699;17649;80.2;77.9;19.7;89434
Solrød;18556;18056;4677;78.1;76.0;19.7;23751
Gribskov;32870;32096;10054;79.9;78.0;24.4;41133
Odsherred;26880;26168;7871;81.8;79.6;23.9;32876
Holbæk;58287;56349;14899;80.1;77.4;20.5;72801
Faxe;29200;28385;7137;78.6;76.4;19.2;37143
Kalundborg;38385;37260;10325;79.3;76.9;21.3;48432
Ringsted;26856;26018;5252;76.5;74.1;15.0;35089
Slagelse;62227;60241;17779;78.1;75.7;22.3;79630
Stevns;18646;18216;4775;79.5;77.6;20.4;23462
Sorø;23990;23330;6365;80.0;77.8;21.2;29982
Lejre;22735;22046;5845;79.4;77.0;20.4;28641
Lolland;31941;30883;9433;79.6;77.0;23.5;40117
Næstved;66507;64358;17129;79.4;76.8;20.5;83748
Guldborgsund;48035;46751;13753;79.7;77.6;22.8;60281
Vordingborg;36150;35257;9849;79.7;77.7;21.7;45386
Bornholm;32892;31959;12514;82.9;80.5;31.5;39677
Middelfart;32508;31385;8924;82.1;79.3;22.5;39585
Assens;33639;32570;8446;82.1;79.5;20.6;40984
Faaborg-Midtfyn;42328;40960;11887;81.6;79.0;22.9;51851
Kerteminde;19762;19138;5541;82.3;79.7;23.1;24018
Nyborg;26402;25566;6831;82.3;79.7;21.3;32096
Odense;165740;160279;39369;80.4;77.8;19.1;206111
Svendborg;48727;46984;14732;82.3;79.4;24.9;59176
Nordfyn;23938;23240;6024;80.5;78.1;20.3;29740
Langeland;10278;10017;2937;83.4;81.3;23.8;12328
Ærø;5091;4995;1378;84.6;83.0;22.9;6021
Haderslev;43974;42434;8920;79.4;76.6;16.1;55399
Billund;21224;20475;4863;79.7;76.9;18.3;26625
Sønderborg;59059;57305;13848;80.2;77.8;18.8;73655
Tønder;28872;27985;5522;78.3;75.9;15.0;36870
Esbjerg;91426;88235;21739;79.2;76.4;18.8;115464
Fanø;2862;2795;843;83.6;81.7;24.6;3423
Varde;39394;38081;9481;79.2;76.6;19.1;49712
Vejen;33380;32013;7444;78.3;75.1;17.5;42639
Aabenraa;45523;43994;10068;77.6;75.0;17.2;58646
Fredericia;41328;39726;10397;80.1;77.0;20.2;51595
Horsens;73616;70434;19084;78.0;74.7;20.2;94347
Kolding;73858;70570;16919;78.9;75.4;18.1;93551
Vejle;93666;89671;23034;78.8;75.4;19.4;118879
Herning;71930;68857;19357;80.6;77.1;21.7;89271
Holstebro;47507;45616;13024;81.1;77.9;22.2;58568
Lemvig;16058;15552;4750;82.8;80.2;24.5;19400
Struer;17245;16627;4850;82.9;80.0;23.3;20796
Syddjurs;35271;34338;8632;80.9;78.8;19.8;43592
Norddjurs;30061;29189;7516;81.3;79.0;20.3;36970
Favrskov;39161;37793;8864;80.1;77.3;18.1;48886
Odder;19034;18587;5103;81.8;79.9;21.9;23270
Randers;78902;76467;20076;79.8;77.3;20.3;98904
Silkeborg;77203;74416;19883;79.4;76.5;20.4;97263
Samsø;3099;3050;654;83.2;81.9;17.6;3723
Skanderborg;50989;49218;11458;79.4;76.6;17.8;64232
Århus;284416;275118;61933;80.0;77.4;17.4;355498
Ikast-Brande;33002;31579;8647;78.8;75.4;20.6;41897
Ringkøbing-Skjern;45098;43475;12661;80.2;77.3;22.5;56206
Hedensted;37987;36572;10012;80.6;77.6;21.2;47116
Morsø;16427;15929;4248;81.8;79.3;21.1;20090
Skive;37296;36010;9687;82.8;79.9;21.5;45059
Thisted;34807;33762;8176;80.8;78.4;19.0;43090
Viborg;78514;75520;21539;81.0;77.9;22.2;96902
Brønderslev;28795;27939;6627;79.6;77.3;18.3;36153
Frederikshavn;48095;46709;12444;81.7;79.3;21.1;58890
Vesthimmerland;28774;27860;7367;79.2;76.7;20.3;36347
Læsø;1475;1449;458;83.2;81.7;25.8;1773
Rebild;24140;23377;5714;78.7;76.3;18.6;30657
Mariagerfjord;33670;32789;8146;80.9;78.7;19.6;41641
Jammerbugt;30755;29730;7333;80.5;77.8;19.2;38197
Aalborg;178438;172836;38626;80.7;78.1;17.5;221215
Hjørring;51754;50514;13094;81.0;79.1;20.5;63860
