"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;9134;5;297970;3.1;0.0
0-9;M;9760;5;314592;3.1;0.0
10-19;K;251093;223690;344518;72.9;64.9
10-19;M;260111;230598;360165;72.2;64.0
20-29;K;313584;299815;381630;82.2;78.6
20-29;M;319989;304653;398315;80.3;76.5
30-39;K;295582;282845;350885;84.2;80.6
30-39;M;294437;282764;363111;81.1;77.9
40-49;K;342433;337139;374714;91.4;90.0
40-49;M;334437;328641;375539;89.1;87.5
50-59;K;376959;373914;401601;93.9;93.1
50-59;M;377757;374482;405028;93.3;92.5
60-69;K;325292;323880;339520;95.8;95.4
60-69;M;316291;314859;330201;95.8;95.4
70-79;K;292617;291945;301071;97.2;97.0
70-79;M;262724;262119;270021;97.3;97.1
80-89;K;127866;127464;132093;96.8;96.5
80-89;M;92868;92611;95481;97.3;97.0
90+;K;25413;25253;26898;94.5;93.9
90+;M;10237;10192;10669;96.0;95.5
