"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90754;0.0;0.0
0-2;M;1;0;95751;0.0;0.0
3-5;K;541;1;91009;0.6;0.0
3-5;M;491;3;96203;0.5;0.0
6-11;K;23743;8;179495;13.2;0.0
6-11;M;25197;10;188749;13.3;0.0
12-15;K;101834;93208;132560;76.8;70.3
12-15;M;107476;98452;140045;76.7;70.3
16-19;K;119765;116277;134334;89.2;86.6
16-19;M;123129;118763;140432;87.7;84.6
20-39;K;609380;582818;732729;83.2;79.5
20-39;M;615693;588566;762693;80.7;77.2
40-64;K;881155;871931;946280;93.1;92.1
40-64;M;871258;861199;947825;91.9;90.9
65-79;K;455813;454547;470293;96.9;96.7
65-79;M;420146;419019;433159;97.0;96.7
80+;K;167734;167158;173446;96.7;96.4
80+;M;115220;114912;118265;97.4;97.2
