"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;9072;4;297908;3.0;0.0
0-9;M;9683;5;314515;3.1;0.0
10-19;K;236819;209492;330244;71.7;63.4
10-19;M;246611;217223;346665;71.1;62.7
20-29;K;315071;301364;383117;82.2;78.7
20-29;M;320993;305628;399319;80.4;76.5
30-39;K;294309;281454;349612;84.2;80.5
30-39;M;294700;282938;363374;81.1;77.9
40-49;K;335995;330687;368276;91.2;89.8
40-49;M;327638;321829;368740;88.9;87.3
50-59;K;376403;373342;401045;93.9;93.1
50-59;M;377594;374278;404865;93.3;92.4
60-69;K;327683;326253;341911;95.8;95.4
60-69;M;317773;316327;331683;95.8;95.4
70-79;K;296887;296196;305341;97.2;97.0
70-79;M;268399;267784;275696;97.4;97.1
80-89;K;137037;136632;141264;97.0;96.7
80-89;M;102125;101869;104738;97.5;97.3
90+;K;30697;30526;32182;95.4;94.9
90+;M;13095;13043;13527;96.8;96.4
