"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17005;76
AstraZeneca Covid-19 vaccine;Midtjylland;33973;183
AstraZeneca Covid-19 vaccine;Syddanmark;30779;444
AstraZeneca Covid-19 vaccine;Hovedstaden;46210;914
AstraZeneca Covid-19 vaccine;Sjælland;23982;439
Janssen COVID-19 vaccine;Nordjylland;3661;3661
Janssen COVID-19 vaccine;Midtjylland;9873;9873
Janssen COVID-19 vaccine;Syddanmark;7591;7591
Janssen COVID-19 vaccine;Hovedstaden;22725;22725
Janssen COVID-19 vaccine;Sjælland;2847;2847
Moderna Covid-19 Vaccine;Nordjylland;71144;69694
Moderna Covid-19 Vaccine;Midtjylland;126321;122479
Moderna Covid-19 Vaccine;Syddanmark;135232;159836
Moderna Covid-19 Vaccine;Hovedstaden;152155;147538
Moderna Covid-19 Vaccine;Sjælland;84506;104187
Pfizer BioNTech Covid-19 vacc;Nordjylland;385320;389463
Pfizer BioNTech Covid-19 vacc;Midtjylland;906222;905883
Pfizer BioNTech Covid-19 vacc;Syddanmark;809377;780547
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1213684;1218191
Pfizer BioNTech Covid-19 vacc;Sjælland;555977;540303
