"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90755;0.0;0.0
0-2;M;1;0;95751;0.0;0.0
3-5;K;542;1;91010;0.6;0.0
3-5;M;492;3;96204;0.5;0.0
6-11;K;23855;14;179607;13.3;0.0
6-11;M;25344;17;188896;13.4;0.0
12-15;K;113293;104668;144019;78.7;72.7
12-15;M;119093;110078;151662;78.5;72.6
16-19;K;122528;119010;137097;89.4;86.8
16-19;M;124941;120505;142244;87.8;84.7
20-39;K;609166;582660;732515;83.2;79.5
20-39;M;614426;587417;761426;80.7;77.1
40-64;K;887245;878060;952370;93.2;92.2
40-64;M;877897;867897;954464;92.0;90.9
65-79;K;450056;448818;464536;96.9;96.6
65-79;M;413312;412204;426325;96.9;96.7
80+;K;153279;152717;158991;96.4;96.1
80+;M;103105;102803;106150;97.1;96.8
