Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 166.218 (49); 176.216 (51); 342.434
10-19; 260.573 (50); 258.332 (50); 518.905
20-29; 254.314 (53); 226.970 (47); 481.284
30-39; 245.877 (53); 214.689 (47); 460.566
40-49; 242.801 (54); 209.066 (46); 451.867
50-59; 202.749 (53); 182.585 (47); 385.334
60-69; 125.338 (52); 114.935 (48); 240.273
70-79;  73.901 (50);  72.751 (50); 146.652
80-89;  27.010 (53);  23.884 (47);  50.894
90+;   7.874 (69);   3.507 (31);  11.381
I alt;1.606.655 (52);1.482.935 (48);3.089.590
