"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;464166;444447;72.4;69.3;641025
Frederiksberg;80138;77513;77.5;75.0;103365
Ballerup;35916;34918;73.1;71.1;49121
Brøndby;23636;22738;66.6;64.1;35482
Dragør;11166;10861;76.4;74.3;14608
Gentofte;56635;55062;76.3;74.1;74265
Gladsaxe;50481;48869;73.2;70.8;68982
Glostrup;16906;16353;71.8;69.4;23551
Herlev;20739;20076;72.0;69.7;28804
Albertslund;18563;17806;67.9;65.1;27335
Hvidovre;37863;36637;71.2;68.9;53207
Høje Tåstrup;35697;34453;67.9;65.5;52605
Lyngby-Taarbæk;44134;42948;76.9;74.9;57366
Rødovre;29187;28242;70.8;68.5;41207
Ishøj;14530;13875;63.0;60.2;23048
Tårnby;31267;30311;73.3;71.0;42662
Vallensbæk;11381;11013;69.0;66.8;16494
Furesø;30937;30216;74.9;73.2;41303
Allerød;20182;19761;78.0;76.3;25888
Fredensborg;30716;29965;74.7;72.9;41104
Helsingør;47989;46770;76.1;74.1;63090
Hillerød;39990;39093;76.2;74.5;52508
Hørsholm;19637;19216;79.2;77.5;24780
Rudersdal;44438;43296;77.6;75.6;57301
Egedal;33759;32930;76.5;74.6;44151
Frederikssund;35806;34969;78.2;76.4;45800
Greve;37132;36087;73.3;71.2;50662
Køge;46406;45209;75.3;73.3;61640
Halsnæs;24307;23769;77.2;75.5;31495
Roskilde;68769;67025;77.2;75.2;89119
Solrød;17671;17265;75.0;73.3;23569
Gribskov;31973;31236;77.6;75.8;41218
Odsherred;26002;25503;78.8;77.3;32993
Holbæk;55753;54279;76.7;74.7;72658
Faxe;27991;27376;75.6;73.9;37047
Kalundborg;36911;36012;76.2;74.4;48417
Ringsted;25735;25103;73.3;71.5;35133
Slagelse;59594;57955;74.9;72.8;79595
Stevns;17913;17567;76.9;75.4;23293
Sorø;23070;22560;76.9;75.2;29995
Lejre;21809;21333;76.2;74.6;28605
Lolland;30580;29878;76.0;74.3;40229
Næstved;63527;61988;76.0;74.1;83612
Guldborgsund;46355;45211;76.8;74.9;60340
Vordingborg;34947;34044;77.1;75.1;45328
Bornholm;31752;31015;80.0;78.1;39712
Middelfart;30956;30276;78.4;76.7;39481
Assens;32212;31347;78.8;76.7;40865
Faaborg-Midtfyn;40468;39551;78.1;76.3;51830
Kerteminde;18970;18502;79.1;77.2;23976
Nyborg;25315;24623;78.8;76.7;32107
Odense;158031;152754;76.9;74.3;205571
Svendborg;46150;44973;78.2;76.2;59043
Nordfyn;22830;22283;77.0;75.2;29651
Langeland;9945;9725;80.7;78.9;12321
Ærø;5006;4924;83.2;81.8;6016
Haderslev;41628;40553;75.3;73.4;55283
Billund;20250;19848;76.3;74.7;26557
Sønderborg;56822;55176;77.2;75.0;73578
Tønder;27689;27014;75.0;73.2;36918
Esbjerg;87718;85110;76.0;73.7;115445
Fanø;2771;2706;80.6;78.7;3438
Varde;37781;36921;76.1;74.4;49647
Vejen;31637;30905;74.1;72.4;42704
Aabenraa;43340;42196;74.1;72.2;58482
Fredericia;39118;38063;75.9;73.8;51544
Horsens;69272;67181;74.2;71.9;93419
Kolding;69494;67298;74.5;72.1;93331
Vejle;88359;85497;74.7;72.3;118207
Herning;67917;66012;76.2;74.1;89105
Holstebro;44944;43598;76.8;74.5;58522
Lemvig;15398;15027;79.4;77.5;19387
Struer;16422;15974;79.0;76.8;20789
Syddjurs;34165;33330;78.4;76.5;43563
Norddjurs;29109;28513;78.6;77.0;37039
Favrskov;37357;36515;76.7;75.0;48708
Odder;18355;17978;79.2;77.6;23178
Randers;75578;73562;76.6;74.5;98712
Silkeborg;73213;71173;75.7;73.6;96700
Samsø;3040;2988;81.9;80.5;3711
Skanderborg;48536;47434;75.9;74.1;63974
Århus;272053;262852;76.7;74.1;354906
Ikast-Brande;31158;30351;74.4;72.5;41873
Ringkøbing-Skjern;42956;41898;76.5;74.6;56153
Hedensted;36069;35309;76.7;75.1;47040
Morsø;15756;15405;78.6;76.8;20047
Skive;35622;34855;79.0;77.3;45088
Thisted;33479;32724;77.7;75.9;43108
Viborg;74663;72897;77.1;75.3;96811
Brønderslev;27754;26960;76.7;74.5;36202
Frederikshavn;46541;45577;79.0;77.4;58893
Vesthimmerland;27723;27130;76.3;74.7;36332
Læsø;1465;1432;81.8;79.9;1792
Rebild;23102;22546;75.4;73.6;30634
Mariagerfjord;32479;31724;78.2;76.4;41532
Jammerbugt;29473;28724;77.3;75.3;38128
Aalborg;171236;165615;77.5;75.0;220852
Hjørring;50131;48763;78.5;76.4;63833
