"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;464166;444447;641025
Frederiksberg;80138;77513;103365
Ballerup;35916;34918;49121
Brøndby;23636;22738;35482
Dragør;11166;10861;14608
Gentofte;56635;55062;74265
Gladsaxe;50481;48869;68982
Glostrup;16906;16353;23551
Herlev;20739;20076;28804
Albertslund;18563;17806;27335
Hvidovre;37863;36637;53207
Høje-Taastrup;35697;34453;52605
Lyngby-Taarbæk;44134;42948;57366
Rødovre;29187;28242;41207
Ishøj;14530;13875;23048
Tårnby;31267;30311;42662
Vallensbæk;11381;11013;16494
Furesø;30937;30216;41303
Allerød;20182;19761;25888
Fredensborg;30716;29965;41104
Helsingør;47989;46770;63090
Hillerød;39990;39093;52508
Hørsholm;19637;19216;24780
Rudersdal;44438;43296;57301
Egedal;33759;32930;44151
Frederikssund;35806;34969;45800
Greve;37132;36087;50662
Køge;46406;45209;61640
Frederiksværk-Hundested;24307;23769;31495
Roskilde;68769;67025;89119
Solrød;17671;17265;23569
Gribskov;31973;31236;41218
Odsherred;26002;25503;32993
Holbæk;55753;54279;72658
Faxe;27991;27376;37047
Kalundborg;36911;36012;48417
Ringsted;25735;25103;35133
Slagelse;59594;57955;79595
Stevns;17913;17567;23293
Sorø;23070;22560;29995
Lejre;21809;21333;28605
Lolland;30580;29878;40229
Næstved;63527;61988;83612
Guldborgsund;46355;45211;60340
Vordingborg;34947;34044;45328
Bornholm;31752;31015;39712
Middelfart;30956;30276;39481
Assens;32212;31347;40865
Faaborg-Midtfyn;40468;39551;51830
Kerteminde;18970;18502;23976
Nyborg;25315;24623;32107
Odense;158031;152754;205571
Svendborg;46150;44973;59043
Nordfyns;22830;22283;29651
Langeland;9945;9725;12321
Ærø;5006;4924;6016
Haderslev;41628;40553;55283
Billund;20250;19848;26557
Sønderborg;56822;55176;73578
Tønder;27689;27014;36918
Esbjerg;87718;85110;115445
Fanø;2771;2706;3438
Varde;37781;36921;49647
Vejen;31637;30905;42704
Aabenraa;43340;42196;58482
Fredericia;39118;38063;51544
Horsens;69272;67181;93419
Kolding;69494;67298;93331
Vejle;88359;85497;118207
Herning;67917;66012;89105
Holstebro;44944;43598;58522
Lemvig;15398;15027;19387
Struer;16422;15974;20789
Syddjurs;34165;33330;43563
Norddjurs;29109;28513;37039
Favrskov;37357;36515;48708
Odder;18355;17978;23178
Randers;75578;73562;98712
Silkeborg;73213;71173;96700
Samsø;3040;2988;3711
Skanderborg;48536;47434;63974
Århus;272053;262852;354906
Ikast-Brande;31158;30351;41873
Ringkøbing-Skjern;42956;41898;56153
Hedensted;36069;35309;47040
Morsø;15756;15405;20047
Skive;35622;34855;45088
Thisted;33479;32724;43108
Viborg;74663;72897;96811
Brønderslev-Dronninglund;27754;26960;36202
Frederikshavn;46541;45577;58893
Vesthimmerlands;27723;27130;36332
Læsø;1465;1432;1792
Rebild;23102;22546;30634
Mariagerfjord;32479;31724;41532
Jammerbugt;29473;28724;38128
Ålborg;171236;165615;220852
Hjørring;50131;48763;63833
