"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-14;Hovedstaden;K;708424;684448;708090;683088;334;1360
2021-09-14;Hovedstaden;M;665467;643910;665195;642741;272;1169
2021-09-14;Midtjylland;K;518680;504338;518464;503526;216;812
2021-09-14;Midtjylland;M;507147;493109;506973;492300;174;809
2021-09-14;Nordjylland;K;229976;223951;229997;223965;-21;-14
2021-09-14;Nordjylland;M;229163;222649;229177;222657;-14;-8
2021-09-14;Sjælland;K;325732;317665;325642;317282;90;383
2021-09-14;Sjælland;M;314433;306730;314286;306300;147;430
2021-09-14;Syddanmark;K;474254;461202;474144;460547;110;655
2021-09-14;Syddanmark;M;462236;449043;462147;448374;89;669
