"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;459139;446600;591353
Midtjylland;1025827;997447;1338678
Syddanmark;936490;910245;1225995
Hovedstaden;1373891;1328358;1861477
Sjælland;640165;624395;842235
