Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     210 (53);     188 (47);     398
10-19;     410 (55);     329 (45);     739
20-29;   1.192 (61);     765 (39);   1.957
30-39;   1.163 (59);     793 (41);   1.956
40-49;   1.394 (60);     942 (40);   2.336
50-59;   1.423 (59);     985 (41);   2.408
60-69;     756 (50);     757 (50);   1.513
70-79;     512 (46);     610 (54);   1.122
80-89;     485 (57);     363 (43);     848
90+;     196 (73);      74 (27);     270
I alt;   7.741 (57);   5.806 (43);  13.547
