"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser"
Midtjylland;2021-02-21;M;44;0;2;2374;206646;12271
Nordjylland;2021-02-21;M;16;0;2;2374;206662;12273
Sjælland;2021-02-21;M;42;0;3;2374;206704;12276
Syddanmark;2021-02-21;M;72;0;2;2374;206776;12278
Hovedstaden;2021-02-22;F;94;0;6;2374;206870;12284
Midtjylland;2021-02-22;F;69;0;2;2374;206939;12286
Nordjylland;2021-02-22;F;19;0;0;2374;206958;12286
Sjælland;2021-02-22;F;49;1;4;2375;207007;12290
Syddanmark;2021-02-22;F;89;0;4;2375;207096;12294
Hovedstaden;2021-02-22;M;103;0;4;2375;207199;12298
Midtjylland;2021-02-22;M;44;0;0;2375;207243;12298
Nordjylland;2021-02-22;M;19;0;1;2375;207262;12299
Sjælland;2021-02-22;M;47;0;4;2375;207309;12303
Syddanmark;2021-02-22;M;83;0;3;2375;207392;12306
Hovedstaden;2021-02-23;F;148;1;8;2376;207540;12314
Midtjylland;2021-02-23;F;26;0;0;2376;207566;12314
Nordjylland;2021-02-23;F;24;1;2;2377;207590;12316
Sjælland;2021-02-23;F;50;0;2;2377;207640;12318
Syddanmark;2021-02-23;F;75;0;5;2377;207715;12323
Hovedstaden;2021-02-23;M;142;0;11;2377;207857;12334
Midtjylland;2021-02-23;M;43;0;3;2377;207900;12337
Nordjylland;2021-02-23;M;17;0;1;2377;207917;12338
Sjælland;2021-02-23;M;51;1;6;2378;207968;12344
Syddanmark;2021-02-23;M;75;0;4;2378;208043;12348
Hovedstaden;2021-02-24;F;124;2;10;2380;208167;12358
Midtjylland;2021-02-24;F;38;0;0;2380;208205;12358
Nordjylland;2021-02-24;F;15;0;2;2380;208220;12360
Sjælland;2021-02-24;F;48;0;1;2380;208268;12361
Syddanmark;2021-02-24;F;64;0;5;2380;208332;12366
Hovedstaden;2021-02-24;M;122;0;8;2380;208454;12374
Midtjylland;2021-02-24;M;35;0;0;2380;208489;12374
Nordjylland;2021-02-24;M;13;0;1;2380;208502;12375
Sjælland;2021-02-24;M;46;0;1;2380;208548;12376
Syddanmark;2021-02-24;M;75;0;7;2380;208623;12383
Hovedstaden;2021-02-25;F;111;0;6;2380;208734;12389
Midtjylland;2021-02-25;F;34;0;1;2380;208768;12390
Nordjylland;2021-02-25;F;16;0;0;2380;208784;12390
Sjælland;2021-02-25;F;63;0;7;2380;208847;12397
Syddanmark;2021-02-25;F;58;0;6;2380;208905;12403
Hovedstaden;2021-02-25;M;116;1;5;2381;209021;12408
Midtjylland;2021-02-25;M;34;0;4;2381;209055;12412
Nordjylland;2021-02-25;M;18;0;0;2381;209073;12412
Sjælland;2021-02-25;M;44;0;2;2381;209117;12414
Syddanmark;2021-02-25;M;82;0;3;2381;209199;12417
Hovedstaden;2021-02-26;F;125;0;8;2381;209324;12425
Midtjylland;2021-02-26;F;20;0;0;2381;209344;12425
Nordjylland;2021-02-26;F;10;0;0;2381;209354;12425
Sjælland;2021-02-26;F;35;0;1;2381;209389;12426
Syddanmark;2021-02-26;F;75;0;3;2381;209464;12429
Hovedstaden;2021-02-26;M;119;0;4;2381;209583;12433
Midtjylland;2021-02-26;M;24;0;3;2381;209607;12436
Nordjylland;2021-02-26;M;13;0;0;2381;209620;12436
Sjælland;2021-02-26;M;35;1;5;2382;209655;12441
Syddanmark;2021-02-26;M;62;0;2;2382;209717;12443
Hovedstaden;2021-02-27;F;107;1;5;2383;209824;12448
Midtjylland;2021-02-27;F;28;0;2;2383;209852;12450
Nordjylland;2021-02-27;F;12;0;0;2383;209864;12450
Sjælland;2021-02-27;F;31;0;1;2383;209895;12451
Syddanmark;2021-02-27;F;54;1;5;2384;209949;12456
Hovedstaden;2021-02-27;M;102;0;5;2384;210051;12461
Midtjylland;2021-02-27;M;36;0;1;2384;210087;12462
Nordjylland;2021-02-27;M;9;0;0;2384;210096;12462
Sjælland;2021-02-27;M;30;0;4;2384;210126;12466
Syddanmark;2021-02-27;M;49;0;4;2384;210175;12470
Hovedstaden;2021-02-28;F;121;0;6;2384;210296;12476
Midtjylland;2021-02-28;F;28;0;1;2384;210324;12477
Nordjylland;2021-02-28;F;13;0;0;2384;210337;12477
Sjælland;2021-02-28;F;23;0;2;2384;210360;12479
Syddanmark;2021-02-28;F;56;1;5;2385;210416;12484
Hovedstaden;2021-02-28;M;125;0;5;2385;210541;12489
Midtjylland;2021-02-28;M;28;0;1;2385;210569;12490
Nordjylland;2021-02-28;M;16;0;1;2385;210585;12491
Sjælland;2021-02-28;M;32;0;3;2385;210617;12494
Syddanmark;2021-02-28;M;59;0;2;2385;210676;12496
Hovedstaden;2021-03-01;F;136;0;4;2385;210812;12500
Midtjylland;2021-03-01;F;32;0;1;2385;210844;12501
Nordjylland;2021-03-01;F;19;0;0;2385;210863;12501
Sjælland;2021-03-01;F;59;0;4;2385;210922;12505
Syddanmark;2021-03-01;F;63;0;4;2385;210985;12509
Hovedstaden;2021-03-01;M;122;0;4;2385;211107;12513
Midtjylland;2021-03-01;M;40;0;0;2385;211147;12513
Nordjylland;2021-03-01;M;17;0;1;2385;211164;12514
Sjælland;2021-03-01;M;50;1;4;2386;211214;12518
Syddanmark;2021-03-01;M;66;1;2;2387;211280;12520
Hovedstaden;2021-03-02;F;116;2;6;2389;211396;12526
Midtjylland;2021-03-02;F;43;0;1;2389;211439;12527
Nordjylland;2021-03-02;F;14;0;1;2389;211453;12528
Sjælland;2021-03-02;F;46;0;3;2389;211499;12531
Syddanmark;2021-03-02;F;69;0;4;2389;211568;12535
Hovedstaden;2021-03-02;M;135;1;9;2390;211703;12544
Midtjylland;2021-03-02;M;47;0;1;2390;211750;12545
Nordjylland;2021-03-02;M;12;0;0;2390;211762;12545
Sjælland;2021-03-02;M;51;0;4;2390;211813;12549
Syddanmark;2021-03-02;M;82;0;5;2390;211895;12554
Hovedstaden;2021-03-03;F;115;0;3;2390;212010;12557
Midtjylland;2021-03-03;F;41;0;2;2390;212051;12559
Nordjylland;2021-03-03;F;10;0;0;2390;212061;12559
Sjælland;2021-03-03;F;46;0;3;2390;212107;12562
Syddanmark;2021-03-03;F;79;0;7;2390;212186;12569
Hovedstaden;2021-03-03;M;122;0;4;2390;212308;12573
Midtjylland;2021-03-03;M;42;0;0;2390;212350;12573
Nordjylland;2021-03-03;M;13;0;0;2390;212363;12573
Sjælland;2021-03-03;M;45;0;4;2390;212408;12577
Syddanmark;2021-03-03;M;73;1;5;2391;212481;12582
Hovedstaden;2021-03-04;F;134;0;4;2391;212615;12586
Midtjylland;2021-03-04;F;50;0;0;2391;212665;12586
Nordjylland;2021-03-04;F;21;0;0;2391;212686;12586
Sjælland;2021-03-04;F;45;0;0;2391;212731;12586
Syddanmark;2021-03-04;F;49;0;2;2391;212780;12588
Hovedstaden;2021-03-04;M;120;0;3;2391;212900;12591
Midtjylland;2021-03-04;M;49;0;1;2391;212949;12592
Nordjylland;2021-03-04;M;15;0;0;2391;212964;12592
Sjælland;2021-03-04;M;47;0;3;2391;213011;12595
Syddanmark;2021-03-04;M;69;0;2;2391;213080;12597
Hovedstaden;2021-03-05;F;107;0;9;2391;213187;12606
Midtjylland;2021-03-05;F;51;0;3;2391;213238;12609
Nordjylland;2021-03-05;F;15;0;0;2391;213253;12609
Sjælland;2021-03-05;F;40;0;0;2391;213293;12609
Syddanmark;2021-03-05;F;46;0;2;2391;213339;12611
Hovedstaden;2021-03-05;M;123;1;10;2392;213462;12621
Midtjylland;2021-03-05;M;48;0;1;2392;213510;12622
Nordjylland;2021-03-05;M;20;0;1;2392;213530;12623
Sjælland;2021-03-05;M;42;1;5;2393;213572;12628
Syddanmark;2021-03-05;M;83;0;3;2393;213655;12631
Hovedstaden;2021-03-06;F;116;0;6;2393;213771;12637
Midtjylland;2021-03-06;F;43;0;1;2393;213814;12638
Nordjylland;2021-03-06;F;11;0;1;2393;213825;12639
Sjælland;2021-03-06;F;28;0;2;2393;213853;12641
Syddanmark;2021-03-06;F;51;0;0;2393;213904;12641
Hovedstaden;2021-03-06;M;106;0;6;2393;214010;12647
Midtjylland;2021-03-06;M;39;0;0;2393;214049;12647
Nordjylland;2021-03-06;M;11;0;1;2393;214060;12648
Sjælland;2021-03-06;M;48;0;5;2393;214108;12653
Syddanmark;2021-03-06;M;69;0;5;2393;214177;12658
Hovedstaden;2021-03-07;F;116;0;8;2393;214293;12666
Midtjylland;2021-03-07;F;70;0;2;2393;214363;12668
Nordjylland;2021-03-07;F;15;0;0;2393;214378;12668
Sjælland;2021-03-07;F;39;0;3;2393;214417;12671
Syddanmark;2021-03-07;F;55;0;2;2393;214472;12673
Hovedstaden;2021-03-07;M;102;0;5;2393;214574;12678
Midtjylland;2021-03-07;M;55;0;1;2393;214629;12679
Nordjylland;2021-03-07;M;20;0;0;2393;214649;12679
Sjælland;2021-03-07;M;44;0;3;2393;214693;12682
Syddanmark;2021-03-07;M;67;0;0;2393;214760;12682
Hovedstaden;2021-03-08;F;120;0;6;2393;214880;12688
Midtjylland;2021-03-08;F;67;0;1;2393;214947;12689
Nordjylland;2021-03-08;F;24;0;0;2393;214971;12689
Sjælland;2021-03-08;F;54;1;3;2394;215025;12692
Syddanmark;2021-03-08;F;72;0;3;2394;215097;12695
Hovedstaden;2021-03-08;M;144;0;8;2394;215241;12703
Midtjylland;2021-03-08;M;95;0;1;2394;215336;12704
Nordjylland;2021-03-08;M;27;0;1;2394;215363;12705
Sjælland;2021-03-08;M;35;0;2;2394;215398;12707
Syddanmark;2021-03-08;M;91;0;0;2394;215489;12707
Hovedstaden;2021-03-09;F;126;0;6;2394;215615;12713
Midtjylland;2021-03-09;F;53;0;2;2394;215668;12715
Nordjylland;2021-03-09;F;19;0;0;2394;215687;12715
Sjælland;2021-03-09;F;42;0;3;2394;215729;12718
Syddanmark;2021-03-09;F;90;0;1;2394;215819;12719
Hovedstaden;2021-03-09;M;157;0;9;2394;215976;12728
Midtjylland;2021-03-09;M;76;0;1;2394;216052;12729
Nordjylland;2021-03-09;M;28;0;1;2394;216080;12730
Sjælland;2021-03-09;M;47;0;4;2394;216127;12734
Syddanmark;2021-03-09;M;95;0;3;2394;216222;12737
Hovedstaden;2021-03-10;F;123;0;3;2394;216345;12740
Midtjylland;2021-03-10;F;67;0;1;2394;216412;12741
Nordjylland;2021-03-10;F;9;0;0;2394;216421;12741
Sjælland;2021-03-10;F;39;0;1;2394;216460;12742
Syddanmark;2021-03-10;F;94;0;5;2394;216554;12747
Hovedstaden;2021-03-10;M;120;0;2;2394;216674;12749
Midtjylland;2021-03-10;M;76;0;1;2394;216750;12750
Nordjylland;2021-03-10;M;20;0;0;2394;216770;12750
Sjælland;2021-03-10;M;43;0;1;2394;216813;12751
Syddanmark;2021-03-10;M;89;0;3;2394;216902;12754
Hovedstaden;2021-03-11;F;140;0;4;2394;217042;12758
Midtjylland;2021-03-11;F;56;0;2;2394;217098;12760
Nordjylland;2021-03-11;F;28;1;0;2395;217126;12760
Sjælland;2021-03-11;F;56;0;1;2395;217182;12761
Syddanmark;2021-03-11;F;72;0;2;2395;217254;12763
Hovedstaden;2021-03-11;M;119;0;5;2395;217373;12768
Midtjylland;2021-03-11;M;53;0;1;2395;217426;12769
Nordjylland;2021-03-11;M;23;0;0;2395;217449;12769
Sjælland;2021-03-11;M;51;0;2;2395;217500;12771
Syddanmark;2021-03-11;M;65;0;2;2395;217565;12773
Hovedstaden;2021-03-12;F;115;0;2;2395;217680;12775
Midtjylland;2021-03-12;F;42;0;1;2395;217722;12776
Nordjylland;2021-03-12;F;21;0;0;2395;217743;12776
Sjælland;2021-03-12;F;45;0;1;2395;217788;12777
Syddanmark;2021-03-12;F;75;0;3;2395;217863;12780
Hovedstaden;2021-03-12;M;109;0;1;2395;217972;12781
Midtjylland;2021-03-12;M;48;0;0;2395;218020;12781
Nordjylland;2021-03-12;M;22;0;0;2395;218042;12781
Sjælland;2021-03-12;M;42;0;3;2395;218084;12784
Syddanmark;2021-03-12;M;63;0;2;2395;218147;12786
Hovedstaden;2021-03-13;F;98;0;2;2395;218245;12788
Midtjylland;2021-03-13;F;43;0;0;2395;218288;12788
Nordjylland;2021-03-13;F;17;0;0;2395;218305;12788
Sjælland;2021-03-13;F;37;0;1;2395;218342;12789
Syddanmark;2021-03-13;F;76;0;4;2395;218418;12793
Hovedstaden;2021-03-13;M;118;0;3;2395;218536;12796
Midtjylland;2021-03-13;M;33;0;0;2395;218569;12796
Nordjylland;2021-03-13;M;19;0;0;2395;218588;12796
Sjælland;2021-03-13;M;40;0;0;2395;218628;12796
Syddanmark;2021-03-13;M;72;0;1;2395;218700;12797
Hovedstaden;2021-03-14;F;109;0;1;2395;218809;12798
Midtjylland;2021-03-14;F;49;0;0;2395;218858;12798
Nordjylland;2021-03-14;F;25;0;0;2395;218883;12798
Sjælland;2021-03-14;F;40;0;1;2395;218923;12799
Syddanmark;2021-03-14;F;71;0;1;2395;218994;12800
Hovedstaden;2021-03-14;M;142;0;3;2395;219136;12803
Midtjylland;2021-03-14;M;51;0;0;2395;219187;12803
Nordjylland;2021-03-14;M;20;0;0;2395;219207;12803
Sjælland;2021-03-14;M;34;0;0;2395;219241;12803
Syddanmark;2021-03-14;M;72;0;1;2395;219313;12804
Hovedstaden;2021-03-15;F;143;0;2;2395;219456;12806
Midtjylland;2021-03-15;F;65;0;2;2395;219521;12808
Nordjylland;2021-03-15;F;23;0;0;2395;219544;12808
Sjælland;2021-03-15;F;44;0;2;2395;219588;12810
Syddanmark;2021-03-15;F;109;0;0;2395;219697;12810
Hovedstaden;2021-03-15;M;159;0;3;2395;219856;12813
Midtjylland;2021-03-15;M;66;0;0;2395;219922;12813
Nordjylland;2021-03-15;M;35;0;0;2395;219957;12813
Sjælland;2021-03-15;M;47;0;3;2395;220004;12816
Syddanmark;2021-03-15;M;103;0;2;2395;220107;12818
Hovedstaden;2021-03-16;F;132;0;4;2395;220239;12822
Midtjylland;2021-03-16;F;65;0;1;2395;220304;12823
Nordjylland;2021-03-16;F;26;0;0;2395;220330;12823
Sjælland;2021-03-16;F;46;0;1;2395;220376;12824
Syddanmark;2021-03-16;F;114;0;1;2395;220490;12825
Hovedstaden;2021-03-16;M;184;0;2;2395;220674;12827
Midtjylland;2021-03-16;M;95;0;2;2395;220769;12829
Nordjylland;2021-03-16;M;40;0;0;2395;220809;12829
Sjælland;2021-03-16;M;57;0;2;2395;220866;12831
Syddanmark;2021-03-16;M;119;0;2;2395;220985;12833
Hovedstaden;2021-03-17;F;133;0;2;2395;221118;12835
Midtjylland;2021-03-17;F;54;0;1;2395;221172;12836
Nordjylland;2021-03-17;F;21;0;0;2395;221193;12836
Sjælland;2021-03-17;F;46;0;0;2395;221239;12836
Syddanmark;2021-03-17;F;78;0;0;2395;221317;12836
Hovedstaden;2021-03-17;M;147;0;2;2395;221464;12838
Midtjylland;2021-03-17;M;52;0;0;2395;221516;12838
Nordjylland;2021-03-17;M;28;0;0;2395;221544;12838
Sjælland;2021-03-17;M;50;0;1;2395;221594;12839
Syddanmark;2021-03-17;M;108;0;2;2395;221702;12841
Hovedstaden;2021-03-18;F;62;0;3;2395;221764;12844
Midtjylland;2021-03-18;F;36;0;0;2395;221800;12844
Nordjylland;2021-03-18;F;9;0;0;2395;221809;12844
Sjælland;2021-03-18;F;27;0;1;2395;221836;12845
Syddanmark;2021-03-18;F;53;0;0;2395;221889;12845
Hovedstaden;2021-03-18;M;49;0;3;2395;221938;12848
Midtjylland;2021-03-18;M;31;0;0;2395;221969;12848
Nordjylland;2021-03-18;M;17;0;0;2395;221986;12848
Sjælland;2021-03-18;M;26;0;0;2395;222012;12848
Syddanmark;2021-03-18;M;41;0;3;2395;222053;12851
