"Dato";"Region";"Indlagte"
2020-05-10;Hovedstaden;105
2020-05-10;Sjælland;39
2020-05-11;Nordjylland;8
2020-05-11;Midtjylland;11
2020-05-11;Syddanmark;9
2020-05-11;Hovedstaden;108
2020-05-11;Sjælland;37
2020-05-12;Nordjylland;9
2020-05-12;Midtjylland;11
2020-05-12;Syddanmark;10
2020-05-12;Hovedstaden;93
2020-05-12;Sjælland;28
2020-05-13;Nordjylland;8
2020-05-13;Midtjylland;11
2020-05-13;Syddanmark;10
2020-05-13;Hovedstaden;84
2020-05-13;Sjælland;25
2020-05-14;Nordjylland;7
2020-05-14;Midtjylland;10
2020-05-14;Syddanmark;10
2020-05-14;Hovedstaden;75
2020-05-14;Sjælland;26
2020-05-15;Nordjylland;7
2020-05-15;Midtjylland;8
2020-05-15;Syddanmark;10
2020-05-15;Hovedstaden;73
2020-05-15;Sjælland;22
2020-05-16;Nordjylland;7
2020-05-16;Midtjylland;6
2020-05-16;Syddanmark;12
2020-05-16;Hovedstaden;69
2020-05-16;Sjælland;21
2020-05-17;Nordjylland;9
2020-05-17;Midtjylland;6
2020-05-17;Syddanmark;10
2020-05-17;Hovedstaden;66
2020-05-17;Sjælland;22
2020-05-18;Nordjylland;9
2020-05-18;Midtjylland;6
2020-05-18;Syddanmark;11
2020-05-18;Hovedstaden;68
2020-05-18;Sjælland;24
2020-05-19;Nordjylland;9
2020-05-19;Midtjylland;6
2020-05-19;Syddanmark;13
2020-05-19;Hovedstaden;66
2020-05-19;Sjælland;21
2020-05-20;Nordjylland;8
2020-05-20;Midtjylland;7
2020-05-20;Syddanmark;14
2020-05-20;Hovedstaden;57
2020-05-20;Sjælland;17
2020-05-21;Nordjylland;8
2020-05-21;Midtjylland;9
2020-05-21;Syddanmark;9
2020-05-21;Hovedstaden;55
2020-05-21;Sjælland;19
2020-05-22;Nordjylland;8
2020-05-22;Midtjylland;9
2020-05-22;Syddanmark;10
2020-05-22;Hovedstaden;52
2020-05-22;Sjælland;21
2020-05-23;Nordjylland;8
2020-05-23;Midtjylland;10
2020-05-23;Syddanmark;10
2020-05-23;Hovedstaden;57
2020-05-23;Sjælland;17
2020-05-24;Nordjylland;8
2020-05-24;Midtjylland;9
2020-05-24;Syddanmark;8
2020-05-24;Hovedstaden;56
2020-05-24;Sjælland;19
2020-05-25;Nordjylland;8
2020-05-25;Midtjylland;8
2020-05-25;Syddanmark;8
2020-05-25;Hovedstaden;59
2020-05-25;Sjælland;19
2020-05-26;Nordjylland;8
2020-05-26;Midtjylland;7
2020-05-26;Syddanmark;8
2020-05-26;Hovedstaden;56
2020-05-26;Sjælland;18
2020-05-27;Nordjylland;7
2020-05-27;Midtjylland;5
2020-05-27;Syddanmark;6
2020-05-27;Hovedstaden;59
2020-05-27;Sjælland;14
2020-05-28;Nordjylland;9
2020-05-28;Midtjylland;4
2020-05-28;Syddanmark;6
2020-05-28;Hovedstaden;65
2020-05-28;Sjælland;12
2020-05-29;Nordjylland;7
2020-05-29;Midtjylland;4
2020-05-29;Syddanmark;5
2020-05-29;Hovedstaden;64
2020-05-29;Sjælland;13
2020-05-30;Nordjylland;7
2020-05-30;Midtjylland;2
2020-05-30;Syddanmark;5
2020-05-30;Hovedstaden;62
2020-05-30;Sjælland;11
2020-05-31;Nordjylland;8
2020-05-31;Midtjylland;2
2020-05-31;Syddanmark;5
2020-05-31;Hovedstaden;59
2020-05-31;Sjælland;11
2020-06-01;Nordjylland;8
2020-06-01;Midtjylland;2
2020-06-01;Syddanmark;6
2020-06-01;Hovedstaden;60
2020-06-01;Sjælland;12
2020-06-02;Nordjylland;8
2020-06-02;Midtjylland;2
2020-06-02;Syddanmark;6
2020-06-02;Hovedstaden;58
2020-06-02;Sjælland;12
2020-06-03;Nordjylland;8
2020-06-03;Midtjylland;2
2020-06-03;Syddanmark;6
2020-06-03;Hovedstaden;54
2020-06-03;Sjælland;12
2020-06-04;Nordjylland;8
2020-06-04;Midtjylland;3
2020-06-04;Syddanmark;5
2020-06-04;Hovedstaden;48
2020-06-04;Sjælland;12
2020-06-05;Nordjylland;7
2020-06-05;Midtjylland;2
2020-06-05;Syddanmark;5
2020-06-05;Hovedstaden;40
2020-06-05;Sjælland;12
2020-06-06;Nordjylland;7
2020-06-06;Midtjylland;2
2020-06-06;Syddanmark;6
2020-06-06;Hovedstaden;41
2020-06-06;Sjælland;12
2020-06-07;Nordjylland;7
2020-06-07;Midtjylland;2
2020-06-07;Syddanmark;4
2020-06-07;Hovedstaden;40
2020-06-07;Sjælland;12
2020-06-08;Nordjylland;7
2020-06-08;Midtjylland;2
2020-06-08;Syddanmark;4
2020-06-08;Hovedstaden;40
2020-06-08;Sjælland;13
2020-06-09;Nordjylland;6
2020-06-09;Midtjylland;0
2020-06-09;Syddanmark;4
2020-06-09;Hovedstaden;38
2020-06-09;Sjælland;11
2020-06-10;Nordjylland;6
2020-06-10;Midtjylland;0
2020-06-10;Syddanmark;4
2020-06-10;Hovedstaden;35
2020-06-10;Sjælland;12
2020-06-11;Nordjylland;7
2020-06-11;Midtjylland;0
2020-06-11;Syddanmark;3
2020-06-11;Hovedstaden;31
2020-06-11;Sjælland;10
2020-06-12;Nordjylland;8
2020-06-12;Midtjylland;0
2020-06-12;Syddanmark;3
2020-06-12;Hovedstaden;32
2020-06-12;Sjælland;8
2020-06-13;Nordjylland;8
2020-06-13;Midtjylland;0
2020-06-13;Syddanmark;2
2020-06-13;Hovedstaden;30
2020-06-13;Sjælland;7
2020-06-14;Nordjylland;8
2020-06-14;Midtjylland;0
2020-06-14;Syddanmark;2
2020-06-14;Hovedstaden;32
2020-06-14;Sjælland;7
2020-06-15;Nordjylland;8
2020-06-15;Midtjylland;0
2020-06-15;Syddanmark;2
2020-06-15;Hovedstaden;29
2020-06-15;Sjælland;7
2020-06-16;Nordjylland;7
2020-06-16;Midtjylland;0
2020-06-16;Syddanmark;1
2020-06-16;Hovedstaden;28
2020-06-16;Sjælland;7
2020-06-17;Nordjylland;7
2020-06-17;Midtjylland;0
2020-06-17;Syddanmark;1
2020-06-17;Hovedstaden;23
2020-06-17;Sjælland;8
2020-06-18;Nordjylland;9
2020-06-18;Midtjylland;0
2020-06-18;Syddanmark;0
2020-06-18;Hovedstaden;23
2020-06-18;Sjælland;6
2020-06-19;Nordjylland;8
2020-06-19;Midtjylland;1
2020-06-19;Syddanmark;0
2020-06-19;Hovedstaden;21
2020-06-19;Sjælland;7
2020-06-20;Nordjylland;9
2020-06-20;Midtjylland;1
2020-06-20;Syddanmark;0
2020-06-20;Hovedstaden;22
2020-06-20;Sjælland;7
2020-06-21;Nordjylland;10
2020-06-21;Midtjylland;1
2020-06-21;Syddanmark;0
2020-06-21;Hovedstaden;21
2020-06-21;Sjælland;6
2020-06-22;Nordjylland;10
2020-06-22;Midtjylland;1
2020-06-22;Syddanmark;0
2020-06-22;Hovedstaden;20
2020-06-22;Sjælland;6
2020-06-23;Nordjylland;9
2020-06-23;Midtjylland;1
2020-06-23;Syddanmark;0
2020-06-23;Hovedstaden;16
2020-06-23;Sjælland;6
2020-06-24;Nordjylland;10
2020-06-24;Midtjylland;3
2020-06-24;Syddanmark;0
2020-06-24;Hovedstaden;14
2020-06-24;Sjælland;6
2020-06-25;Nordjylland;13
2020-06-25;Midtjylland;2
2020-06-25;Syddanmark;0
2020-06-25;Hovedstaden;16
2020-06-25;Sjælland;5
2020-06-26;Nordjylland;11
2020-06-26;Midtjylland;1
2020-06-26;Syddanmark;0
2020-06-26;Hovedstaden;13
2020-06-26;Sjælland;6
2020-06-27;Nordjylland;9
2020-06-27;Midtjylland;0
2020-06-27;Syddanmark;0
2020-06-27;Hovedstaden;14
2020-06-27;Sjælland;6
2020-06-28;Nordjylland;10
2020-06-28;Midtjylland;0
2020-06-28;Syddanmark;0
2020-06-28;Hovedstaden;13
2020-06-28;Sjælland;7
2020-06-29;Nordjylland;12
2020-06-29;Midtjylland;0
2020-06-29;Syddanmark;1
2020-06-29;Hovedstaden;15
2020-06-29;Sjælland;7
2020-06-30;Nordjylland;11
2020-06-30;Midtjylland;0
2020-06-30;Syddanmark;0
2020-06-30;Hovedstaden;15
2020-06-30;Sjælland;6
2020-07-01;Nordjylland;11
2020-07-01;Midtjylland;0
2020-07-01;Syddanmark;0
2020-07-01;Hovedstaden;14
2020-07-01;Sjælland;4
2020-07-02;Nordjylland;10
2020-07-02;Midtjylland;1
2020-07-02;Syddanmark;0
2020-07-02;Hovedstaden;14
2020-07-02;Sjælland;4
2020-07-03;Nordjylland;9
2020-07-03;Midtjylland;0
2020-07-03;Syddanmark;1
2020-07-03;Hovedstaden;15
2020-07-03;Sjælland;2
2020-07-04;Nordjylland;10
2020-07-04;Midtjylland;1
2020-07-04;Syddanmark;1
2020-07-04;Hovedstaden;13
2020-07-04;Sjælland;1
2020-07-05;Nordjylland;9
2020-07-05;Midtjylland;0
2020-07-05;Syddanmark;1
2020-07-05;Hovedstaden;13
2020-07-05;Sjælland;1
2020-07-06;Nordjylland;9
2020-07-06;Midtjylland;0
2020-07-06;Syddanmark;1
2020-07-06;Hovedstaden;12
2020-07-06;Sjælland;1
2020-07-07;Nordjylland;4
2020-07-07;Midtjylland;0
2020-07-07;Syddanmark;1
2020-07-07;Hovedstaden;10
2020-07-07;Sjælland;2
2020-07-08;Nordjylland;5
2020-07-08;Midtjylland;0
2020-07-08;Syddanmark;1
2020-07-08;Hovedstaden;10
2020-07-08;Sjælland;2
2020-07-09;Nordjylland;6
2020-07-09;Midtjylland;0
2020-07-09;Syddanmark;1
2020-07-09;Hovedstaden;9
2020-07-09;Sjælland;2
2020-07-10;Nordjylland;5
2020-07-10;Midtjylland;0
2020-07-10;Syddanmark;1
2020-07-10;Hovedstaden;9
2020-07-10;Sjælland;2
2020-07-11;Nordjylland;4
2020-07-11;Midtjylland;0
2020-07-11;Syddanmark;0
2020-07-11;Hovedstaden;9
2020-07-11;Sjælland;2
2020-07-12;Nordjylland;5
2020-07-12;Midtjylland;0
2020-07-12;Syddanmark;0
2020-07-12;Hovedstaden;12
2020-07-12;Sjælland;1
2020-07-13;Nordjylland;5
2020-07-13;Midtjylland;0
2020-07-13;Syddanmark;0
2020-07-13;Hovedstaden;12
2020-07-13;Sjælland;1
2020-07-14;Nordjylland;6
2020-07-14;Midtjylland;0
2020-07-14;Syddanmark;0
2020-07-14;Hovedstaden;10
2020-07-14;Sjælland;1
2020-07-15;Nordjylland;5
2020-07-15;Midtjylland;0
2020-07-15;Syddanmark;0
2020-07-15;Hovedstaden;13
2020-07-15;Sjælland;1
2020-07-16;Nordjylland;5
2020-07-16;Midtjylland;1
2020-07-16;Syddanmark;0
2020-07-16;Hovedstaden;10
2020-07-16;Sjælland;1
2020-07-17;Nordjylland;5
2020-07-17;Midtjylland;1
2020-07-17;Syddanmark;1
2020-07-17;Hovedstaden;12
2020-07-17;Sjælland;1
2020-07-18;Nordjylland;6
2020-07-18;Midtjylland;1
2020-07-18;Syddanmark;0
2020-07-18;Hovedstaden;7
2020-07-18;Sjælland;2
2020-07-19;Nordjylland;6
2020-07-19;Midtjylland;1
2020-07-19;Syddanmark;0
2020-07-19;Hovedstaden;10
2020-07-19;Sjælland;2
2020-07-20;Nordjylland;5
2020-07-20;Midtjylland;1
2020-07-20;Syddanmark;0
2020-07-20;Hovedstaden;10
2020-07-20;Sjælland;2
2020-07-21;Nordjylland;3
2020-07-21;Midtjylland;1
2020-07-21;Syddanmark;0
2020-07-21;Hovedstaden;11
2020-07-21;Sjælland;3
2020-07-22;Nordjylland;3
2020-07-22;Midtjylland;0
2020-07-22;Syddanmark;0
2020-07-22;Hovedstaden;10
2020-07-22;Sjælland;3
2020-07-23;Nordjylland;3
2020-07-23;Midtjylland;0
2020-07-23;Syddanmark;0
2020-07-23;Hovedstaden;13
2020-07-23;Sjælland;3
2020-07-24;Nordjylland;4
2020-07-24;Midtjylland;0
2020-07-24;Syddanmark;0
2020-07-24;Hovedstaden;11
2020-07-24;Sjælland;1
2020-07-25;Nordjylland;5
2020-07-25;Midtjylland;0
2020-07-25;Syddanmark;1
2020-07-25;Hovedstaden;9
2020-07-25;Sjælland;2
2020-07-26;Nordjylland;5
2020-07-26;Midtjylland;1
2020-07-26;Syddanmark;1
2020-07-26;Hovedstaden;12
2020-07-26;Sjælland;4
2020-07-27;Nordjylland;5
2020-07-27;Midtjylland;1
2020-07-27;Syddanmark;0
2020-07-27;Hovedstaden;13
2020-07-27;Sjælland;4
2020-07-28;Nordjylland;5
2020-07-28;Midtjylland;1
2020-07-28;Syddanmark;0
2020-07-28;Hovedstaden;11
2020-07-28;Sjælland;5
2020-07-29;Nordjylland;4
2020-07-29;Midtjylland;1
2020-07-29;Syddanmark;0
2020-07-29;Hovedstaden;12
2020-07-29;Sjælland;4
2020-07-30;Nordjylland;3
2020-07-30;Midtjylland;2
2020-07-30;Syddanmark;0
2020-07-30;Hovedstaden;8
2020-07-30;Sjælland;5
2020-07-31;Nordjylland;3
2020-07-31;Midtjylland;1
2020-07-31;Syddanmark;0
2020-07-31;Hovedstaden;9
2020-07-31;Sjælland;5
2020-08-01;Nordjylland;4
2020-08-01;Midtjylland;2
2020-08-01;Syddanmark;1
2020-08-01;Hovedstaden;7
2020-08-01;Sjælland;2
2020-08-02;Nordjylland;4
2020-08-02;Midtjylland;3
2020-08-02;Syddanmark;2
2020-08-02;Hovedstaden;7
2020-08-02;Sjælland;4
2020-08-03;Nordjylland;4
2020-08-03;Midtjylland;5
2020-08-03;Syddanmark;2
2020-08-03;Hovedstaden;7
2020-08-03;Sjælland;6
2020-08-04;Nordjylland;4
2020-08-04;Midtjylland;8
2020-08-04;Syddanmark;0
2020-08-04;Hovedstaden;6
2020-08-04;Sjælland;6
2020-08-05;Nordjylland;4
2020-08-05;Midtjylland;6
2020-08-05;Syddanmark;0
2020-08-05;Hovedstaden;5
2020-08-05;Sjælland;8
2020-08-06;Nordjylland;4
2020-08-06;Midtjylland;8
2020-08-06;Syddanmark;0
2020-08-06;Hovedstaden;5
2020-08-06;Sjælland;7
2020-08-07;Nordjylland;3
2020-08-07;Midtjylland;7
2020-08-07;Syddanmark;0
2020-08-07;Hovedstaden;7
2020-08-07;Sjælland;8
2020-08-08;Nordjylland;3
2020-08-08;Midtjylland;5
2020-08-08;Syddanmark;0
2020-08-08;Hovedstaden;5
2020-08-08;Sjælland;8
2020-08-09;Nordjylland;4
2020-08-09;Midtjylland;6
2020-08-09;Syddanmark;0
2020-08-09;Hovedstaden;4
2020-08-09;Sjælland;6
2020-08-10;Nordjylland;4
2020-08-10;Midtjylland;8
2020-08-10;Syddanmark;0
2020-08-10;Hovedstaden;5
2020-08-10;Sjælland;6
2020-08-11;Nordjylland;4
2020-08-11;Midtjylland;7
2020-08-11;Syddanmark;1
2020-08-11;Hovedstaden;3
2020-08-11;Sjælland;5
2020-08-12;Nordjylland;4
2020-08-12;Midtjylland;3
2020-08-12;Syddanmark;1
2020-08-12;Hovedstaden;2
2020-08-12;Sjælland;6
2020-08-13;Nordjylland;4
2020-08-13;Midtjylland;1
2020-08-13;Syddanmark;1
2020-08-13;Hovedstaden;3
2020-08-13;Sjælland;4
2020-08-14;Nordjylland;4
2020-08-14;Midtjylland;1
2020-08-14;Syddanmark;1
2020-08-14;Hovedstaden;4
2020-08-14;Sjælland;4
2020-08-15;Nordjylland;4
2020-08-15;Midtjylland;3
2020-08-15;Syddanmark;0
2020-08-15;Hovedstaden;3
2020-08-15;Sjælland;4
2020-08-16;Nordjylland;4
2020-08-16;Midtjylland;3
2020-08-16;Syddanmark;1
2020-08-16;Hovedstaden;2
2020-08-16;Sjælland;2
2020-08-17;Nordjylland;4
2020-08-17;Midtjylland;6
2020-08-17;Syddanmark;1
2020-08-17;Hovedstaden;3
2020-08-17;Sjælland;2
2020-08-18;Nordjylland;5
2020-08-18;Midtjylland;5
2020-08-18;Syddanmark;1
2020-08-18;Hovedstaden;3
2020-08-18;Sjælland;4
2020-08-19;Nordjylland;5
2020-08-19;Midtjylland;3
2020-08-19;Syddanmark;0
2020-08-19;Hovedstaden;5
2020-08-19;Sjælland;3
2020-08-20;Nordjylland;7
2020-08-20;Midtjylland;3
2020-08-20;Syddanmark;1
2020-08-20;Hovedstaden;5
2020-08-20;Sjælland;4
2020-08-21;Nordjylland;7
2020-08-21;Midtjylland;5
2020-08-21;Syddanmark;1
2020-08-21;Hovedstaden;7
2020-08-21;Sjælland;2
2020-08-22;Nordjylland;8
2020-08-22;Midtjylland;5
2020-08-22;Syddanmark;2
2020-08-22;Hovedstaden;6
2020-08-22;Sjælland;1
2020-08-23;Nordjylland;9
2020-08-23;Midtjylland;4
2020-08-23;Syddanmark;2
2020-08-23;Hovedstaden;4
2020-08-23;Sjælland;0
2020-08-24;Nordjylland;8
2020-08-24;Midtjylland;4
2020-08-24;Syddanmark;3
2020-08-24;Hovedstaden;5
2020-08-24;Sjælland;0
2020-08-25;Nordjylland;9
2020-08-25;Midtjylland;3
2020-08-25;Syddanmark;2
2020-08-25;Hovedstaden;6
2020-08-25;Sjælland;1
2020-08-26;Nordjylland;9
2020-08-26;Midtjylland;3
2020-08-26;Syddanmark;2
2020-08-26;Hovedstaden;5
2020-08-26;Sjælland;0
2020-08-27;Nordjylland;7
2020-08-27;Midtjylland;3
2020-08-27;Syddanmark;2
2020-08-27;Hovedstaden;6
2020-08-27;Sjælland;1
2020-08-28;Nordjylland;7
2020-08-28;Midtjylland;3
2020-08-28;Syddanmark;1
2020-08-28;Hovedstaden;7
2020-08-28;Sjælland;3
2020-08-29;Nordjylland;7
2020-08-29;Midtjylland;3
2020-08-29;Syddanmark;1
2020-08-29;Hovedstaden;8
2020-08-29;Sjælland;2
2020-08-30;Nordjylland;7
2020-08-30;Midtjylland;2
2020-08-30;Syddanmark;1
2020-08-30;Hovedstaden;9
2020-08-30;Sjælland;2
2020-08-31;Nordjylland;7
2020-08-31;Midtjylland;3
2020-08-31;Syddanmark;1
2020-08-31;Hovedstaden;11
2020-08-31;Sjælland;1
2020-09-01;Nordjylland;7
2020-09-01;Midtjylland;3
2020-09-01;Syddanmark;1
2020-09-01;Hovedstaden;8
2020-09-01;Sjælland;1
2020-09-02;Nordjylland;6
2020-09-02;Midtjylland;1
2020-09-02;Syddanmark;0
2020-09-02;Hovedstaden;8
2020-09-02;Sjælland;0
2020-09-03;Nordjylland;6
2020-09-03;Midtjylland;2
2020-09-03;Syddanmark;1
2020-09-03;Hovedstaden;8
2020-09-03;Sjælland;0
2020-09-04;Nordjylland;5
2020-09-04;Midtjylland;2
2020-09-04;Syddanmark;2
2020-09-04;Hovedstaden;9
2020-09-04;Sjælland;0
2020-09-05;Nordjylland;4
2020-09-05;Midtjylland;0
2020-09-05;Syddanmark;2
2020-09-05;Hovedstaden;10
2020-09-05;Sjælland;0
2020-09-06;Nordjylland;5
2020-09-06;Midtjylland;3
2020-09-06;Syddanmark;3
2020-09-06;Hovedstaden;16
2020-09-06;Sjælland;0
2020-09-07;Nordjylland;5
2020-09-07;Midtjylland;3
2020-09-07;Syddanmark;4
2020-09-07;Hovedstaden;17
2020-09-07;Sjælland;0
2020-09-08;Nordjylland;6
2020-09-08;Midtjylland;3
2020-09-08;Syddanmark;4
2020-09-08;Hovedstaden;15
2020-09-08;Sjælland;0
2020-09-09;Nordjylland;6
2020-09-09;Midtjylland;6
2020-09-09;Syddanmark;5
2020-09-09;Hovedstaden;13
2020-09-09;Sjælland;0
2020-09-10;Nordjylland;6
2020-09-10;Midtjylland;5
2020-09-10;Syddanmark;5
2020-09-10;Hovedstaden;17
2020-09-10;Sjælland;2
2020-09-11;Nordjylland;9
2020-09-11;Midtjylland;6
2020-09-11;Syddanmark;7
2020-09-11;Hovedstaden;21
2020-09-11;Sjælland;1
2020-09-12;Nordjylland;8
2020-09-12;Midtjylland;7
2020-09-12;Syddanmark;5
2020-09-12;Hovedstaden;20
2020-09-12;Sjælland;3
2020-09-13;Nordjylland;9
2020-09-13;Midtjylland;5
2020-09-13;Syddanmark;7
2020-09-13;Hovedstaden;23
2020-09-13;Sjælland;3
2020-09-14;Nordjylland;10
2020-09-14;Midtjylland;5
2020-09-14;Syddanmark;8
2020-09-14;Hovedstaden;24
2020-09-14;Sjælland;3
2020-09-15;Nordjylland;12
2020-09-15;Midtjylland;4
2020-09-15;Syddanmark;10
2020-09-15;Hovedstaden;24
2020-09-15;Sjælland;5
2020-09-16;Nordjylland;11
2020-09-16;Midtjylland;5
2020-09-16;Syddanmark;9
2020-09-16;Hovedstaden;21
2020-09-16;Sjælland;5
2020-09-17;Nordjylland;13
2020-09-17;Midtjylland;8
2020-09-17;Syddanmark;8
2020-09-17;Hovedstaden;26
2020-09-17;Sjælland;5
2020-09-18;Nordjylland;11
2020-09-18;Midtjylland;7
2020-09-18;Syddanmark;8
2020-09-18;Hovedstaden;27
2020-09-18;Sjælland;5
2020-09-19;Nordjylland;11
2020-09-19;Midtjylland;8
2020-09-19;Syddanmark;7
2020-09-19;Hovedstaden;32
2020-09-19;Sjælland;4
2020-09-20;Nordjylland;12
2020-09-20;Midtjylland;9
2020-09-20;Syddanmark;8
2020-09-20;Hovedstaden;33
2020-09-20;Sjælland;5
2020-09-21;Nordjylland;11
2020-09-21;Midtjylland;9
2020-09-21;Syddanmark;8
2020-09-21;Hovedstaden;41
2020-09-21;Sjælland;6
2020-09-22;Nordjylland;14
2020-09-22;Midtjylland;11
2020-09-22;Syddanmark;13
2020-09-22;Hovedstaden;35
2020-09-22;Sjælland;6
2020-09-23;Nordjylland;11
2020-09-23;Midtjylland;11
