"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;465469;448223;641720
Frederiksberg;80384;78039;103549
Ballerup;35979;35104;49153
Brøndby;23673;22858;35505
Dragør;11176;10935;14603
Gentofte;56762;55369;74290
Gladsaxe;50594;49179;69044
Glostrup;16942;16456;23559
Herlev;20785;20201;28806
Albertslund;18620;17919;27354
Hvidovre;37965;36868;53235
Høje-Taastrup;35775;34702;52637
Lyngby-Taarbæk;44230;43223;57456
Rødovre;29253;28412;41214
Ishøj;14570;13982;23055
Tårnby;31326;30514;42673
Vallensbæk;11419;11087;16498
Furesø;31035;30384;41313
Allerød;20201;19860;25886
Fredensborg;30785;30109;41127
Helsingør;48043;46894;63078
Hillerød;40092;39311;52596
Hørsholm;19656;19287;24780
Rudersdal;44486;43497;57306
Egedal;33825;33104;44154
Frederikssund;35884;35116;45784
Greve;37221;36293;50672
Køge;46497;45483;61643
Frederiksværk-Hundested;24346;23857;31498
Roskilde;68885;67511;89163
Solrød;17716;17385;23586
Gribskov;31997;31372;41209
Odsherred;26008;25574;32975
Holbæk;55843;54592;72655
Faxe;28014;27499;37055
Kalundborg;36983;36243;48431
Ringsted;25770;25265;35139
Slagelse;59731;58369;79616
Stevns;17951;17675;23335
Sorø;23099;22674;29993
Lejre;21854;21454;28615
Lolland;30614;30031;40228
Næstved;63654;62328;83634
Guldborgsund;46396;45432;60333
Vordingborg;34994;34259;45336
Bornholm;31795;31156;39722
Middelfart;31046;30452;39494
Assens;32269;31580;40839
Faaborg-Midtfyn;40501;39772;51817
Kerteminde;19001;18611;23991
Nyborg;25371;24880;32105
Odense;158358;154090;205877
Svendborg;46310;45316;59050
Nordfyns;22880;22429;29632
Langeland;9953;9762;12319
Ærø;5005;4928;6009
Haderslev;41720;40770;55302
Billund;20264;19919;26560
Sønderborg;56920;55521;73650
Tønder;27731;27101;36905
Esbjerg;87857;85512;115491
Fanø;2780;2718;3439
Varde;37813;37044;49661
Vejen;31677;31063;42705
Aabenraa;43421;42397;58502
Fredericia;39188;38370;51538
Horsens;69418;67638;93430
Kolding;69645;67892;93349
Vejle;88522;86235;118254
Herning;67994;66324;89217
Holstebro;45007;43914;58552
Lemvig;15409;15063;19394
Struer;16437;16065;20790
Syddjurs;34194;33503;43561
Norddjurs;29127;28575;37047
Favrskov;37401;36659;48719
Odder;18373;18053;23179
Randers;75648;73792;98741
Silkeborg;73302;71550;96698
Samsø;3040;2996;3712
Skanderborg;48619;47767;63971
Århus;272592;264668;355134
Ikast-Brande;31186;30480;41869
Ringkøbing-Skjern;42973;42082;56170
Hedensted;36141;35489;47052
Morsø;15812;15486;20049
Skive;35666;34944;45099
Thisted;33543;32920;43115
Viborg;74754;73199;96823
Brønderslev-Dronninglund;27781;27186;36206
Frederikshavn;46578;45825;58880
Vesthimmerlands;27771;27306;36344
Læsø;1473;1456;1795
Rebild;23143;22676;30643
Mariagerfjord;32549;31928;41544
Jammerbugt;29555;28902;38143
Ålborg;171631;167025;221008
Hjørring;50200;49175;63843
