"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;465469;448223;72.5;69.8;641720
Frederiksberg;80384;78039;77.6;75.4;103549
Ballerup;35979;35104;73.2;71.4;49153
Brøndby;23673;22858;66.7;64.4;35505
Dragør;11176;10935;76.5;74.9;14603
Gentofte;56762;55369;76.4;74.5;74290
Gladsaxe;50594;49179;73.3;71.2;69044
Glostrup;16942;16456;71.9;69.9;23559
Herlev;20785;20201;72.2;70.1;28806
Albertslund;18620;17919;68.1;65.5;27354
Hvidovre;37965;36868;71.3;69.3;53235
Høje Tåstrup;35775;34702;68.0;65.9;52637
Lyngby-Taarbæk;44230;43223;77.0;75.2;57456
Rødovre;29253;28412;71.0;68.9;41214
Ishøj;14570;13982;63.2;60.6;23055
Tårnby;31326;30514;73.4;71.5;42673
Vallensbæk;11419;11087;69.2;67.2;16498
Furesø;31035;30384;75.1;73.5;41313
Allerød;20201;19860;78.0;76.7;25886
Fredensborg;30785;30109;74.9;73.2;41127
Helsingør;48043;46894;76.2;74.3;63078
Hillerød;40092;39311;76.2;74.7;52596
Hørsholm;19656;19287;79.3;77.8;24780
Rudersdal;44486;43497;77.6;75.9;57306
Egedal;33825;33104;76.6;75.0;44154
Frederikssund;35884;35116;78.4;76.7;45784
Greve;37221;36293;73.5;71.6;50672
Køge;46497;45483;75.4;73.8;61643
Halsnæs;24346;23857;77.3;75.7;31498
Roskilde;68885;67511;77.3;75.7;89163
Solrød;17716;17385;75.1;73.7;23586
Gribskov;31997;31372;77.6;76.1;41209
Odsherred;26008;25574;78.9;77.6;32975
Holbæk;55843;54592;76.9;75.1;72655
Faxe;28014;27499;75.6;74.2;37055
Kalundborg;36983;36243;76.4;74.8;48431
Ringsted;25770;25265;73.3;71.9;35139
Slagelse;59731;58369;75.0;73.3;79616
Stevns;17951;17675;76.9;75.7;23335
Sorø;23099;22674;77.0;75.6;29993
Lejre;21854;21454;76.4;75.0;28615
Lolland;30614;30031;76.1;74.7;40228
Næstved;63654;62328;76.1;74.5;83634
Guldborgsund;46396;45432;76.9;75.3;60333
Vordingborg;34994;34259;77.2;75.6;45336
Bornholm;31795;31156;80.0;78.4;39722
Middelfart;31046;30452;78.6;77.1;39494
Assens;32269;31580;79.0;77.3;40839
Faaborg-Midtfyn;40501;39772;78.2;76.8;51817
Kerteminde;19001;18611;79.2;77.6;23991
Nyborg;25371;24880;79.0;77.5;32105
Odense;158358;154090;76.9;74.8;205877
Svendborg;46310;45316;78.4;76.7;59050
Nordfyn;22880;22429;77.2;75.7;29632
Langeland;9953;9762;80.8;79.2;12319
Ærø;5005;4928;83.3;82.0;6009
Haderslev;41720;40770;75.4;73.7;55302
Billund;20264;19919;76.3;75.0;26560
Sønderborg;56920;55521;77.3;75.4;73650
Tønder;27731;27101;75.1;73.4;36905
Esbjerg;87857;85512;76.1;74.0;115491
Fanø;2780;2718;80.8;79.0;3439
Varde;37813;37044;76.1;74.6;49661
Vejen;31677;31063;74.2;72.7;42705
Aabenraa;43421;42397;74.2;72.5;58502
Fredericia;39188;38370;76.0;74.4;51538
Horsens;69418;67638;74.3;72.4;93430
Kolding;69645;67892;74.6;72.7;93349
Vejle;88522;86235;74.9;72.9;118254
Herning;67994;66324;76.2;74.3;89217
Holstebro;45007;43914;76.9;75.0;58552
Lemvig;15409;15063;79.5;77.7;19394
Struer;16437;16065;79.1;77.3;20790
Syddjurs;34194;33503;78.5;76.9;43561
Norddjurs;29127;28575;78.6;77.1;37047
Favrskov;37401;36659;76.8;75.2;48719
Odder;18373;18053;79.3;77.9;23179
Randers;75648;73792;76.6;74.7;98741
Silkeborg;73302;71550;75.8;74.0;96698
Samsø;3040;2996;81.9;80.7;3712
Skanderborg;48619;47767;76.0;74.7;63971
Århus;272592;264668;76.8;74.5;355134
Ikast-Brande;31186;30480;74.5;72.8;41869
Ringkøbing-Skjern;42973;42082;76.5;74.9;56170
Hedensted;36141;35489;76.8;75.4;47052
Morsø;15812;15486;78.9;77.2;20049
Skive;35666;34944;79.1;77.5;45099
Thisted;33543;32920;77.8;76.4;43115
Viborg;74754;73199;77.2;75.6;96823
Brønderslev;27781;27186;76.7;75.1;36206
Frederikshavn;46578;45825;79.1;77.8;58880
Vesthimmerland;27771;27306;76.4;75.1;36344
Læsø;1473;1456;82.1;81.1;1795
Rebild;23143;22676;75.5;74.0;30643
Mariagerfjord;32549;31928;78.3;76.9;41544
Jammerbugt;29555;28902;77.5;75.8;38143
Aalborg;171631;167025;77.7;75.6;221008
Hjørring;50200;49175;78.6;77.0;63843
