"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;460036;449885;77.8;76.0;591570
Midtjylland;1027281;1002761;76.7;74.9;1339158
Syddanmark;938232;916362;76.5;74.7;1226489
Hovedstaden;1377067;1337018;73.9;71.8;1862804
Sjælland;641230;628067;76.1;74.6;842409
