"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;460036;449885;591570
Midtjylland;1027281;1002761;1339158
Syddanmark;938232;916362;1226489
Hovedstaden;1377067;1337018;1862804
Sjælland;641230;628067;842409
