"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,77245,38873,13.1,6.6,590407
Midtjylland,154096,83587,11.6,6.3,1333221
Syddanmark,146708,79926,12.0,6.5,1224034
Hovedstaden,206535,112022,11.1,6.0,1856144
Sjælland,107066,53139,12.8,6.3,839380
