"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-29,Hovedstaden,K,133231,71126,131510,71114,1721,12
2021-03-29,Hovedstaden,M,73304,40896,72043,40873,1261,23
2021-03-29,Midtjylland,K,101406,54508,100994,54426,412,82
2021-03-29,Midtjylland,M,52690,29079,52270,29005,420,74
2021-03-29,Nordjylland,K,50472,25324,48865,25311,1607,13
2021-03-29,Nordjylland,M,26773,13549,25418,13536,1355,13
2021-03-29,Sjælland,K,68054,33353,66568,33349,1486,4
2021-03-29,Sjælland,M,39012,19786,37528,19774,1484,12
2021-03-29,Syddanmark,K,95046,50825,94494,49589,552,1236
2021-03-29,Syddanmark,M,51662,29101,51138,27821,524,1280
