"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,36299,19052,6.1,3.2,590374
Midtjylland,75750,40301,5.7,3.0,1332459
Syddanmark,72463,37935,5.9,3.1,1223412
Hovedstaden,95417,57460,5.1,3.1,1855331
Sjælland,54529,21881,6.5,2.6,838837
