"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,24777,16365,638418
Frederiksberg,5454,3344,103487
Ballerup,2464,1296,49169
Brøndby,1922,992,35305
Dragør,888,427,14559
Gentofte,4241,2713,74442
Gladsaxe,3780,2384,69256
Glostrup,1775,1057,23433
Herlev,1777,1068,28807
Albertslund,1652,966,27290
Hvidovre,3262,2071,53378
Høje-Taastrup,3062,1741,52012
Lyngby-Taarbæk,3388,1861,56727
Rødovre,2121,1127,41163
Ishøj,1191,649,23063
Tårnby,2218,1296,42701
Vallensbæk,988,536,16524
Furesø,2521,1417,40969
Allerød,1426,804,25863
Fredensborg,2463,1452,40990
Helsingør,3915,2205,63030
Hillerød,3516,2202,51715
Hørsholm,1686,963,24863
Rudersdal,3508,1951,56966
Egedal,1961,1157,43694
Frederikssund,2707,1428,45480
Greve,2721,1225,50556
Køge,3782,1722,61481
Frederiksværk-Hundested,1798,1032,31380
Roskilde,5951,2587,88772
Solrød,1292,640,23444
Gribskov,2634,1493,40922
Odsherred,2262,805,32894
Holbæk,4897,2015,71959
Faxe,2129,851,36712
Kalundborg,3049,984,48417
Ringsted,2052,810,34859
Slagelse,5453,2165,79196
Stevns,1372,543,23111
Sorø,1967,790,30009
Lejre,1780,726,28244
Lolland,2843,886,40440
Næstved,5530,2347,83222
Guldborgsund,4600,1751,60279
Vordingborg,2849,1034,45242
Bornholm,2322,1463,39725
Middelfart,2503,1443,39195
Assens,2270,985,40855
Faaborg-Midtfyn,3110,1323,51601
Kerteminde,1383,621,23871
Nyborg,1896,760,31945
Odense,11526,6158,205065
Svendborg,5029,2674,58705
Nordfyns,1495,691,29539
Langeland,969,437,12346
Ærø,509,194,5962
Haderslev,2904,1801,55321
Billund,1408,734,26537
Sønderborg,4059,2444,73803
Tønder,2082,1245,37045
Esbjerg,7886,3736,115544
Fanø,222,121,3443
Varde,3282,1435,49647
Vejen,2685,1283,42736
Aabenraa,2947,1707,58533
Fredericia,3043,1789,51341
Horsens,5106,2585,92463
Kolding,4930,2838,93102
Vejle,6325,3516,117276
Herning,5347,3051,89237
Holstebro,3426,1847,58697
Lemvig,1163,699,19588
Struer,1129,650,20800
Syddjurs,2484,1266,43182
Norddjurs,2449,1394,36937
Favrskov,2572,1407,48410
Odder,1550,834,22981
Randers,5895,3376,98271
Silkeborg,5414,3023,95764
Samsø,477,438,3686
Skanderborg,2906,1580,63449
Århus,18918,8885,352560
Ikast-Brande,2083,1113,41538
Ringkøbing-Skjern,3202,1794,56123
Hedensted,2661,1281,46753
Morsø,1719,1028,20055
Skive,2887,1595,45419
Thisted,2593,1374,43127
Viborg,6081,3483,96601
Brønderslev-Dronninglund,2300,1232,36126
Frederikshavn,3888,1981,58985
Vesthimmerlands,2341,1183,36360
Læsø,199,102,1772
Rebild,1729,932,30525
Mariagerfjord,2480,1150,41546
Jammerbugt,2099,1119,38099
Ålborg,12556,6792,219664
Hjørring,4395,2159,64115
