Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.106.219;  31.234;   2.282;     436
Sjælland; 425.194;   7.918;     789;     138
Syddanmark; 614.716;   8.279;     508;      56
Midtjylland; 693.705;  12.318;     696;      86
Nordjylland; 357.682;   5.275;     315;      54
I alt i Danmark;3.197.516;  65.024;   4.590;     770
