Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.589.814; 136.742;   7.652;   1.342
Sjælland; 666.284;  39.138;   2.642;     406
Syddanmark; 993.684;  40.692;   1.855;     223
Midtjylland;1.085.525;  51.014;   2.283;     358
Nordjylland; 504.831;  21.494;   1.008;     189
I alt i Danmark;4.840.138; 289.080;  15.440;   2.518
