Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     916 (49);     942 (51);   1.858
10-19;   2.716 (49);   2.859 (51);   5.575
20-29;   4.173 (51);   3.935 (49);   8.108
30-39;   2.977 (51);   2.827 (49);   5.804
40-49;   3.353 (53);   2.993 (47);   6.346
50-59;   3.283 (52);   3.056 (48);   6.339
60-69;   1.642 (47);   1.828 (53);   3.470
70-79;   1.097 (48);   1.186 (52);   2.283
80-89;     708 (56);     551 (44);   1.259
90+;     264 (71);     106 (29);     370
I alt;  21.129 (51);  20.283 (49);  41.412
