"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,79021,41658,590455
Midtjylland,173873,91448,1333315
Syddanmark,155975,88565,1224067
Hovedstaden,226829,125072,1856091
Sjælland,117534,57021,839517
