"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;503497;479632;644947
Frederiksberg;86292;82413;103647
Ballerup;38735;36796;49215
Brøndby;25574;24393;35647
Dragør;12182;11490;14610
Gentofte;61751;58381;74266
Gladsaxe;55011;51922;69303
Glostrup;18133;17284;23510
Herlev;22471;21266;28863
Albertslund;20420;19257;27568
Hvidovre;41170;38851;53279
Høje-Taastrup;39233;37283;52978
Lyngby-Taarbæk;48273;45612;57850
Rødovre;31789;30124;41399
Ishøj;16020;15169;23213
Tårnby;33943;32058;42711
Vallensbæk;12430;11776;16480
Furesø;34002;31914;41411
Allerød;21887;20646;25861
Fredensborg;33279;31596;41200
Helsingør;51439;49200;62954
Hillerød;43759;41464;53237
Hørsholm;21016;20119;24754
Rudersdal;48154;45654;57280
Egedal;36683;34840;44385
Frederikssund;38272;36651;45783
Greve;40463;38510;50818
Køge;50119;47841;61735
Frederiksværk-Hundested;25806;24782;31341
Roskilde;74516;71199;89496
Solrød;19364;18416;23779
Gribskov;33908;32554;41135
Odsherred;27468;26611;32846
Holbæk;60234;57654;72817
Faxe;30180;28968;37153
Kalundborg;39521;37947;48410
Ringsted;27959;26627;35121
Slagelse;64546;61494;79659
Stevns;19315;18522;23473
Sorø;25023;23813;30015
Lejre;23638;22558;28615
Lolland;32661;31594;40109
Næstved;68768;65817;83810
Guldborgsund;49435;47542;60286
Vordingborg;37218;35820;45350
Bornholm;33867;32436;39646
Middelfart;33685;32219;39616
Assens;34775;33253;40994
Faaborg-Midtfyn;43866;41775;51828
Kerteminde;20371;19500;24041
Nyborg;27314;26139;32108
Odense;170964;163527;206066
Svendborg;50190;48056;59194
Nordfyns;24757;23661;29741
Langeland;10499;10169;12303
Ærø;5268;5041;6030
Haderslev;45353;43464;55370
Billund;22018;21048;26639
Sønderborg;61177;58470;73693
Tønder;29711;28540;36860
Esbjerg;95054;90307;115438
Fanø;2944;2847;3428
Varde;40914;38978;49680
Vejen;34728;33075;42633
Aabenraa;46933;44995;58684
Fredericia;42728;40946;51594
Horsens;76316;72466;94464
Kolding;76505;73059;93584
Vejle;97156;92505;118997
Herning;74200;70861;89279
Holstebro;49039;46708;58576
Lemvig;16485;15900;19400
Struer;17746;17021;20783
Syddjurs;36681;34885;43588
Norddjurs;31105;29692;36947
Favrskov;41192;38725;48904
Odder;19828;18860;23294
Randers;82026;77924;98959
Silkeborg;80352;76386;97320
Samsø;3222;3079;3718
Skanderborg;53565;50448;64293
Århus;294110;280693;355461
Ikast-Brande;34132;32593;41923
Ringkøbing-Skjern;46656;44619;56217
Hedensted;39346;37586;47128
Morsø;16903;16218;20048
Skive;38641;36873;45073
Thisted;36004;34439;43098
Viborg;81543;77455;96892
Brønderslev-Dronninglund;30229;28656;36170
Frederikshavn;49874;47870;58879
Vesthimmerlands;29862;28538;36330
Læsø;1529;1461;1771
Rebild;25307;24012;30657
Mariagerfjord;34994;33383;41663
Jammerbugt;32046;30556;38177
Ålborg;184892;176820;221230
Hjørring;54116;51582;63888
