"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90697;0.0;0.0
0-2;M;1;0;95628;0.0;0.0
3-5;K;7134;384;91077;7.8;0.4
3-5;M;7847;403;96355;8.1;0.4
6-11;K;81096;17608;179243;45.2;9.8
6-11;M;85722;18712;188391;45.5;9.9
12-15;K;105977;98494;132537;80.0;74.3
12-15;M;111827;104040;140141;79.8;74.2
16-19;K;120872;118387;134273;90.0;88.2
16-19;M;124471;121183;140391;88.7;86.3
20-39;K;618789;599317;732896;84.4;81.8
20-39;M;624470;604060;763138;81.8;79.2
40-64;K;883881;876810;946169;93.4;92.7
40-64;M;874513;866792;947634;92.3;91.5
65-79;K;456706;455418;470554;97.1;96.8
65-79;M;421123;419913;433433;97.2;96.9
80+;K;168236;167596;173611;96.9;96.5
80+;M;115602;115260;118448;97.6;97.3
