"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;495756;473535;299381;83.8;80.0;50.6;591911
Midtjylland;1116185;1062774;661697;83.2;79.2;49.3;1342219
Syddanmark;1016910;971574;600466;82.8;79.1;48.9;1228521
Hovedstaden;1488996;1415563;857027;79.7;75.8;45.9;1868473
Sjælland;690428;660933;428317;81.9;78.4;50.8;843492
