"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;495756;473535;591911
Midtjylland;1116185;1062774;1342219
Syddanmark;1016910;971574;1228521
Hovedstaden;1488996;1415563;1868473
Sjælland;690428;660933;843492
