"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;54472;6955;298582;18.2;2.3
0-9;M;58313;7453;315251;18.5;2.4
10-19;K;276797;243968;345427;80.1;70.6
10-19;M;286971;252094;361071;79.5;69.8
20-29;K;318673;308368;381403;83.6;80.9
20-29;M;324902;313240;398222;81.6;78.7
30-39;K;299843;290730;351220;85.4;82.8
30-39;M;298189;289561;363537;82.0;79.7
40-49;K;344166;340202;374816;91.8;90.8
40-49;M;336386;332109;375691;89.5;88.4
50-59;K;377924;375563;401615;94.1;93.5
50-59;M;379013;376399;405030;93.6;92.9
60-69;K;325693;324451;339425;96.0;95.6
60-69;M;316779;315463;329995;96.0;95.6
70-79;K;292606;291880;300669;97.3;97.1
70-79;M;262562;261921;269455;97.4;97.2
80-89;K;127459;127027;131450;97.0;96.6
80-89;M;92410;92119;94845;97.4;97.1
90+;K;25066;24872;26450;94.8;94.0
90+;M;10051;10004;10462;96.1;95.6
